"","BirdID","BloodID","NotSure","Objective","PlateID","U_PlateID","CqGAPDH","EffGAPDH","DiffGAPDH","CqTelomere","EffTelomere","DiffTelomere","RTL","Whodunnit","obsno","CatchID","BloodSource","Status","OccasionDate","Island","birthyear","birthday","occasionyear","age_year","age_date","AveAge","WithinAge","BirthFieldPeriodID","SexEstimate","OccasionID","TerritoryID","FieldPeriodID","Year","TerritoryNumber","TQ","TQcorrected","newstat","avg_invert","RTL_z","lifespan","newlifespan"
"18",450,699,2896,7,38,"7_38",23.406,1.9455,0.024,17.3805,1.81,0.055,0.39,"EAF",1,1749,"A","BrF","1999-01-17","CN",1992,"1992-08-09",1999,7,2352,7,0,14,0,887,84,26,1999,57,21892.51494,21892.51494,"Dom",1.51550549603333,-1.33618023114152,2926,2926
"19",450,728,171,1,23,"1_23",23.33533333,1.865666667,0.145,13.34933333,1.66,0.252,1.01,"EB",1,1748,"A","BrF","1999-04-29","CN",1992,"1992-08-09",1999,7,2454,7,0,14,0,906,84,27,NA,NA,NA,NA,"Dom",NA,0.286089547984395,2926,2926
"20",453,3217,966,3,4,"3_4",24.23166667,1.862666667,0.118,13.48266667,1.683,0.305,1.21,"EB",1,5578,"A","BrM","2006-08-23","CN",1992,"1992-08-10",2006,14,5126,15.5,-1.5,14,1,1934,69,75,2006,48,11457.85101,11457.85101,"Dom",3.14873123264286,0.809402379960495,6430,6430
"21",453,4321,2661,7,27,"7_27",23.0965,1.9215,0.343,17.646,1.82,0.208,0.26,"EAF",1,6738,"A","BrM","2009-07-13","CN",1992,"1992-08-10",2009,17,6181,15.5,1.5,14,1,2456,69,92,2009,48,9466.69573,9466.69573,"Dom",4.5509424385,-1.67633357192598,6430,6430
"22",455,2423,43,1,13,"1_13",23.90666667,1.885333333,0.068,13.09966667,1.723333333,0.23,1.67,"EB",1,1740,"A","BrF","1997-07-28","CN",1992,"1992-08-10",1997,5,1813,5,0,14,0,723,48,22,1997,33.1,68299.32416,68299.32416,"Dom",6.34906043033333,2.01302189350553,1844,1844
"23",458,2407,3121,8,12,"8_12",23.191,1.9215,0.108,15.937,1.8375,0.22,1.6,"EAF",1,1736,"A","BrF","1997-07-25","CN",1992,"1992-08-11",1997,5,1809,8,-3,14,0,715,14,22,1997,9,105311.6815,105311.6815,"Dom",6.34906043033333,1.82986240231389,4779,3704
"24",458,238,740,2,6,"2_6",23.692,1.902333333,0.336,13.147,1.712666667,0.296,1.04,"EB",1,3109,"A","BrF","2003-12-14","CN",1992,"1992-08-11",2003,11,4142,8,3,14,0,1228,14,31,NA,NA,NA,NA,"Dom",NA,0.36458647278081,4779,3704
"25",459,1021,1667,4,3,"4_3",23.71166667,1.854333333,0.12,12.70833333,1.774333333,0.388,1.01,"EB",1,2679,"A","BrF","2002-07-25","CN",1992,"1992-08-11",2002,10,3635,8.5,1.5,14,0,1059,55,41,NA,NA,NA,NA,"Dom",NA,0.286089547984395,5284,5284
"26",459,827,2669,7,27,"7_27",23.1705,1.891,0.201,15.4515,1.792,0.103,1.02,"EAF",1,1733,"A",NA,"1999-11-20","CN",1992,"1992-08-11",1999,7,2657,8.5,-1.5,14,0,987,55,29,NA,NA,NA,NA,NA,NA,0.3122551895832,5284,5284
"27",467,2649,407,1,40,"1_40",24.14666667,1.881333333,0.121,12.97633333,1.704333333,0.265,1.07,"EB",1,1720,"A","BrM","1998-03-18","CN",1992,"1992-08-11",1998,6,2045,6,0,14,1,803,67,23,1998,47,398972.9844,398972.9844,"Dom",5.83789656866667,0.443083397577225,2924,2924
"28",476,842,3780,8,5,"8_5",24.1475,1.897,0.049,18.0315,1.8055,0.341,0.61,"EAF",1,1705,"A",NA,"1999-11-29","CN",1992,"1992-08-12",1999,7,2665,7,0,14,0,1001,126,29,NA,NA,NA,NA,NA,NA,-0.760536115967807,4869,4869
"29",477,2420,37,1,12,"1_12",24.622,1.929333333,0.026,14.65266667,1.699666667,0.027,1.13,"EB",1,1702,"A","BrM","1997-07-26","CN",1992,"1992-08-14",1997,5,1807,5,0,14,1,720,126,22,1997,86,177502.2122,177502.2122,"Dom",6.34906043033333,0.600077247170055,2052,2052
"30",494,2276,3043,7,46,"7_46",22.835,1.9485,0.074,15.838,1.8165,0.004,0.51,"EAF",1,1662,"A","BrM","1995-05-30","CN",1990,"1990-07-02",1995,5,1793,5,0,12,1,428,40,19,NA,NA,NA,NA,"Dom",NA,-1.02219253195586,4475,4042
"31",495,902,3018,7,44,"7_44",23.032,1.966,0.064,15.583,1.828,0.356,0.81,"EAF",1,51,"A","BrM","2000-08-04","CN",1993,"1993-07-08",2000,7,2584,4.5,2.5,16,1,1022,9,39,NA,NA,NA,NA,"Dom",NA,-0.237223283991706,2940,2940
"32",495,2285,3120,8,12,"8_12",23.683,1.8905,0.032,16.146,1.786,0.334,1.89,"EAF",2,1659,"A","BrM","1995-06-04","CN",1993,"1993-07-08",1995,2,696,4.5,-2.5,16,1,437,9,19,NA,NA,NA,NA,"Dom",NA,2.58866600867924,2940,2940
"33",497,3850,2188,6,14,"6_14",22.31866667,1.860666667,0.059,13.67566667,1.733666667,0.121,0.42,"EAF",2,6221,"A","BrM","2007-08-30","CN",1993,"1993-07-08",2007,14,5166,8.33333333333333,5.66666666666667,16,1,2237,8,82,2007,5,6214.238272,6214.238272,"Dom",2.00111878428571,-1.2576833063451,5183,5183
"34",497,2538,338,1,36,"1_36",24.29566667,1.884,0.033,14.843,1.627,0.277,1.21,"EB",1,1656,"A","BrM","1997-07-12","CN",1993,"1993-07-08",1997,4,1465,8.33333333333333,-4.33333333333333,16,1,689,8,22,1997,5,66816.69343,66816.69343,"Dom",6.34906043033333,0.809402379960495,5183,5183
"35",497,901,228,1,27,"1_27",23.559,1.899666667,0.247,13.04133333,1.686,0.259,0.99,"EB",1,49,"A","BrM","2000-08-04","CN",1993,"1993-07-08",2000,7,2584,8.33333333333333,-1.33333333333333,16,1,1022,8,39,NA,NA,NA,NA,"Dom",NA,0.233758264786785,5183,5183
"36",498,2640,258,1,30,"1_30",24.06066667,1.865333333,0.19,13.89133333,1.666333333,0.179,1.09,"EB",1,1653,"A","BrM","1998-03-05","CN",1993,"1993-11-10",1998,5,1576,5,0,16,1,794,148,23,1998,98,90036.86739,90036.86739,"Dom",5.83789656866667,0.495414680774835,1599,1599
"37",499,2409,3493,8,3,"8_3",23.6185,1.9705,0.107,17.346,1.773,0.28,0.64,"EAF",1,1650,"A","BrM","1997-07-25","CN",1993,"1993-07-08",1997,4,1478,4,0,16,1,715,14,22,1997,9,105311.6815,105311.6815,"Dom",6.34906043033333,-0.682039191171392,4804,4804
"38",500,2522,9,1,1,"1_1",23.56966667,1.897,0.346,11.72633333,1.687333333,0.392,2.09,"EB",1,1643,"A","BrF","1997-07-04","CN",1991,"1991-05-03",1997,6,2254,6,0,14,0,672,40,22,1997,29,65914.79689,65914.79689,"Dom",6.34906043033333,3.11197884065534,2704,2704
"39",501,141,526,2,13,"2_13",23.956,1.891666667,0.088,13.388,1.717333333,0.438,0.98,"EB",1,2942,"A","BrM","2003-07-19","CN",1994,"1994-04-09",2003,9,3388,9,0,17,1,1170,2,30,2003,1.1,15132.78391,15132.78391,"Dom",3.65308711307692,0.20759262318798,3931,3098
"40",503,3776,2721,7,30,"7_30",22.8385,1.964,0.073,15.3275,1.8175,0.081,0.74,"EAF",1,6139,"A","BrF","2007-07-23","CN",1993,"1993-07-08",2007,14,5128,12,2,16,0,2225,33,82,2007,25,11394.82634,11394.82634,"Dom",2.00111878428571,-0.420382775183341,5341,5341
"41",503,128,1434,4,12,"4_12",22.96233333,1.940333333,0.277,12.71633333,1.794333333,0.131,0.73,"EB",1,2943,"A","BrF","2003-07-10","CN",1993,"1993-07-08",2003,10,3654,12,-2,16,0,1162,33,30,2003,25,10141.82176,10141.82176,"Dom",3.65308711307692,-0.446548416782146,5341,5341
"42",504,712,160,1,22,"1_22",23.992,1.887666667,0.155,14.276,1.732,0.186,0.46,"EB",1,1636,"A","BrF","1999-01-27","CN",1993,"1993-07-08",1999,6,2029,6,0,16,0,895,5,26,1999,3.1,17433.80321,17433.80321,"Dom",1.51550549603333,-1.15302073994988,2593,2593
"43",507,217,665,2,23,"2_23",25.917,1.926,0.433,15.34166667,1.725333333,0.211,0.93,"EB",1,2944,"A","BrM","2003-08-26","CN",1993,"1993-07-08",2003,10,3701,7.5,2.5,16,1,1213,30,30,NA,NA,NA,NA,"Dom",3.65308711307692,0.0767644151939545,5540,5540
"44",507,2671,100,1,17,"1_17",24.016,1.878666667,0.283,14.522,1.685333333,0.416,0.92,"EB",1,1631,"A","BrM","1998-07-26","CN",1993,"1993-07-08",1998,5,1844,7.5,-2.5,16,1,823,45,25,1998,32,39021.19513,39021.19513,"Dom",3.40909704426667,0.0505987735951495,5540,5540
"45",509,2222,654,2,21,"2_21",23.852,1.863,0.077,13.54166667,1.666333333,0.248,0.52,"EB",1,1626,"A","BrM","1995-06-24","CN",1993,"1993-07-08",1995,2,716,3.5,-1.5,16,1,472,172,19,NA,NA,NA,NA,"Dom",NA,-0.996026890357052,3373,3373
"46",509,2618,257,1,30,"1_30",23.382,1.857333333,0.109,13.02933333,1.637333333,0.27,1.06,"EB",1,1627,"A","BrM","1998-02-05","CN",1993,"1993-07-08",1998,5,1673,3.5,1.5,16,1,780,164,23,1998,107,56549.46127,56549.46127,"Dom",5.83789656866667,0.41691775597842,3373,3373
"47",510,2345,580,2,17,"2_17",25.98833333,1.859666667,0.392,15.64533333,1.691,0.47,0.64,"EB",1,1624,"A","BrM","1996-06-29","CN",1993,"1993-07-11",1996,3,1084,3,0,16,1,562,59,21,1996,42,381771.7938,381771.7938,"Dom",5.50450219233333,-0.682039191171392,5180,5180
"48",522,2637,73,1,15,"1_15",24.16066667,1.876333333,0.459,11.70333333,1.707666667,0.376,1.99,"EB",1,1600,"A","BrF","1998-03-02","CN",1993,"1993-07-16",1998,5,1690,4,1,16,0,792,86,23,1998,58,56050.85068,56050.85068,"Dom",5.83789656866667,2.85032242466729,3365,3365
"49",522,2383,3045,7,46,"7_46",22.94,1.956,0.114,14.9265,1.8495,0.021,0.96,"EAF",1,1599,"A","BrF","1996-06-28","CN",1993,"1993-07-16",1996,3,1078,4,-1,16,0,559,86,21,1996,58,47980.57627,47980.57627,"Dom",5.50450219233333,0.155261339990369,3365,3365
"50",525,2584,3764,8,5,"8_5",23.7515,1.913,0.125,17.0225,1.8225,0.277,0.86,"EAF",1,1594,"A","BrM","1997-07-23","CN",1993,"1993-07-16",1997,4,1468,4,0,16,1,710,116,22,1997,81,27191.95608,27191.95608,"Dom",6.34906043033333,-0.106395075997681,2585,2585
"51",525,766,183,1,24,"1_24",24.27233333,1.955,0.42,14.50866667,1.686,0.456,1.06,"EB",1,1591,"A","BrM","1999-08-14","CN",1993,"1993-07-16",1999,6,2220,4,2,16,1,953,99,28,1999,67,109001.349,109001.349,"Dom",5.15521640586667,0.41691775597842,2585,2585
"52",525,2239,364,1,38,"1_38",23.99566667,1.799666667,0.265,12.69766667,1.596,0.198,1.98,"EB",1,1592,"A","BrM","1995-07-04","CN",1993,"1993-07-16",1995,2,718,4,-2,16,1,484,99,19,NA,NA,NA,NA,"Dom",NA,2.82415678306848,2585,2585
"53",528,2624,70,1,15,"1_15",23.94866667,1.913333333,0.262,12.14966667,1.702333333,0.246,1.34,"EB",1,1588,"A","H","1998-02-11","CN",1993,"1993-07-16",1998,5,1671,5,0,16,0,784,103,23,1998,71,13134.04794,13134.04794,"Sub",5.83789656866667,1.14955572074496,1716,1716
"54",544,263,1467,4,14,"4_14",23.52866667,1.852,0.17,13.057,1.781333333,0.309,0.91,"EB",1,3122,"A","BrM","2003-12-26","CN",1993,"1993-07-21",2003,10,3810,10,0,16,1,1245,159,31,NA,NA,NA,NA,"Dom",NA,0.0244331319963444,4193,3360
"55",544,137,1824,4,41,"4_41",24.02033333,1.897333333,0.139,13.25633333,1.74,0.232,0.66,"EB",1,2946,"A","BrM","2003-07-16","CN",1993,"1993-07-21",2003,10,3647,10,0,16,1,1169,159,30,2003,103.1,35682.17198,35682.17198,"Dom",3.65308711307692,-0.629707907973782,4193,3360
"56",557,807,187,1,24,"1_24",25.80233333,1.852666667,0.086,16.354,1.693666667,0.46,1.08,"EB",1,1553,"A","BrM","1999-09-06","CN",1993,"1993-07-24",1999,6,2235,6,0,16,1,974,57,28,1999,41,85330.55983,85330.55983,"Dom",5.15521640586667,0.46924903917603,2577,2577
"57",563,2681,112,1,18,"1_18",23.927,1.863666667,0.295,13.61166667,1.686666667,0.375,1.67,"EB",1,1541,"A","BrF","1998-08-04","CN",1994,"1994-07-19",1998,4,1477,4,0,17,0,841,160,25,1998,104,99136.02988,99136.02988,"Dom",3.40909704426667,2.01302189350553,4807,4807
"58",595,357,1487,4,16,"4_16",23.69333333,1.885,0.429,13.29866667,1.746,0.159,1.08,"EB",1,3637,"A","BrF","2004-07-04","CN",1993,"1993-07-08",2004,11,4014,6.5,4.5,16,0,1367,9,34,2004,6,14251.65173,14251.65173,"Dom",3.1884100425,0.46924903917603,4206,3373
"59",595,2189,3022,7,45,"7_45",23.2745,1.8715,0.009,16.0885,1.7845,0.001,0.67,"EAF",1,1499,"A","BrF","1995-06-04","CN",1993,"1993-07-08",1995,2,696,6.5,-4.5,16,0,436,19,19,NA,NA,NA,NA,"Dom",NA,-0.603542266374976,4206,3373
"60",596,2537,330,1,35,"1_35",24.487,1.909666667,0.259,14.78233333,1.704,0.187,0.81,"EB",1,1498,"A","BrF","1997-07-12","CN",1993,"1993-07-08",1997,4,1465,4,0,16,0,689,8,22,1997,5,66816.69343,66816.69343,"Dom",6.34906043033333,-0.237223283991706,2593,2271
"61",602,2726,3101,8,11,"8_11",23.6005,1.9505,0.067,16.385,1.833,0.092,0.76,"EAF",1,1486,"A","BrM","1998-08-28","CN",1993,"1993-07-10",1998,5,1875,5,0,16,1,864,123,25,1998,84,53314.41945,53314.41945,"Dom",3.40909704426667,-0.368051491985731,2938,2938
"62",604,2199,651,2,21,"2_21",23.13033333,1.885333333,0.272,12.63366667,1.7,0.164,0.53,"EB",1,1483,"A","BrF","1995-06-11","CN",1993,"1993-07-10",1995,2,701,2,0,16,0,450,47,19,NA,NA,NA,NA,"Dom",NA,-0.969861248758247,2591,2591
"63",605,2570,3807,8,7,"8_7",23.7695,1.991,0.095,17.3505,1.832,0.179,0.62,"EAF",1,1479,"A","BrM","1997-07-21","CN",1993,"1993-07-10",1997,4,1472,4,0,16,1,704,168,22,1997,111,125634.0266,125634.0266,"Dom",6.34906043033333,-0.734370474369002,2029,2029
"64",606,2411,350,1,37,"1_37",24.231,1.869666667,0.189,14.55533333,1.667333333,0.052,0.86,"EB",1,1475,"A","BrM","1997-07-25","CN",1993,"1993-07-10",1997,4,1476,4,0,16,1,717,62,22,1997,45,275232.3175,275232.3175,"Dom",6.34906043033333,-0.106395075997681,1722,1722
"65",608,2344,624,2,2,"2_2",23.52833333,1.891333333,0.424,13.732,1.702333333,0.401,0.99,"EB",1,1470,"A","H","1996-06-29","CN",1993,"1993-07-11",1996,3,1084,3,0,16,0,562,59,21,1996,42,381771.7938,381771.7938,"Sub",5.50450219233333,0.233758264786785,1721,1721
"66",609,2848,538,2,14,"2_14",24.03166667,1.859666667,0.288,13.77566667,1.631,0.161,0.74,"EB",1,5234,"A","ABX","2005-11-19","CN",1993,"1993-07-11",2005,12,4514,7.4,4.6,16,1,1752,42,54,NA,NA,NA,NA,"Sub",NA,-0.420382775183341,4536,4536
"67",609,66,2895,7,38,"7_38",23.3475,1.886,0.115,14.914,1.8285,0.024,1.67,"EAF",2,2934,"A","BrM","2003-06-14","CN",1993,"1993-07-11",2003,10,3625,7.4,2.6,16,1,1133,42,30,2003,30.1,47112.15993,47112.15993,"Dom",3.65308711307692,2.01302189350553,4536,4536
"68",609,2295,679,2,24,"2_24",23.62333333,1.804666667,0.435,12.257,1.626333333,0.489,0.94,"EB",1,1468,"A","BrM","1995-06-07","CN",1993,"1993-07-11",1995,2,696,7.4,-5.4,16,1,443,44,19,NA,NA,NA,NA,"Dom",NA,0.102930056792759,4536,4536
"69",609,1034,3658,8,37,"8_37",24.9145,1.881,0.021,18.073,1.7835,0.302,0.87,"EAF",2,2691,"A","BrM","2002-07-31","CN",1993,"1993-07-11",2002,9,3307,7.4,1.6,16,1,1069,42,41,NA,NA,NA,NA,"Dom",NA,-0.0802294343988758,4536,4536
"70",609,2426,130,1,2,"1_2",23.702,1.946666667,0.267,13.351,1.703333333,0.322,1.24,"EB",1,1466,"A","BrM","1997-07-04","CN",1993,"1993-07-11",1997,4,1454,7.4,-3.4,16,1,673,42,22,1997,30.1,99126.94,99126.94,"Dom",6.34906043033333,0.88789930475691,4536,4536
"71",628,2442,45,1,13,"1_13",23.711,1.878666667,0.321,13.966,1.693666667,0.295,0.9,"EB",1,1433,"A","BrF","1997-08-06","CN",1993,"1993-07-16",1997,4,1482,3.5,0.5,16,0,732,76,22,1997,52,83665.99738,83665.99738,"Dom",6.34906043033333,-0.00173250960246065,NA,3365
"72",628,2361,582,2,17,"2_17",23.98733333,1.859333333,0.158,13.44933333,1.684,0.378,0.58,"EB",1,1431,"A","BrF","1996-07-14","CN",1993,"1993-07-16",1996,3,1094,3.5,-0.5,16,0,575,76,21,1996,52,77538.33398,77538.33398,"Dom",5.50450219233333,-0.839033040764222,NA,3365
"73",632,888,226,1,27,"1_27",23.717,1.907,0.293,13.77733333,1.685666667,0.34,0.74,"EB",1,23,"A","BrM","2000-08-02","CN",1993,"1993-07-16",2000,7,2574,6.5,0.5,16,1,1020,90,39,NA,NA,NA,NA,"Dom",NA,-0.420382775183341,2585,2585
"74",632,729,172,1,23,"1_23",23.62766667,1.884666667,0.382,14.21166667,1.691333333,0.384,0.79,"EB",1,1420,"A","BrM","1999-04-26","CN",1993,"1993-07-16",1999,6,2110,6.5,-0.5,16,1,903,90,27,NA,NA,NA,NA,"Dom",NA,-0.289554567189316,2585,2585
"75",637,2514,390,1,4,"1_4",24.43066667,2.015333333,0.166,14.773,1.654666667,0.327,1,"EB",1,1412,"A","BrM","1997-07-08","CN",1993,"1993-07-17",1997,4,1452,4,0,16,1,683,104,22,1997,72,22606.85602,22606.85602,"Dom",6.34906043033333,0.25992390638559,1715,1715
"76",638,2744,3144,8,13,"8_13",23.4405,1.8995,0.017,16.9135,1.825,0.133,0.72,"EAF",1,1417,"A","BrF","1998-09-08","CN",1993,"1993-07-17",1998,5,1879,5,0,16,0,872,125,25,1998,85,52592.33593,52592.33593,"Dom",3.40909704426667,-0.472714058380951,3364,3364
"77",639,2680,111,1,18,"1_18",23.574,1.896,0.123,13.27333333,1.697,0.497,1.58,"EB",1,1408,"A","BrF","1998-08-04","CN",1994,"1994-04-18",1998,4,1569,4,0,17,0,841,155,25,1998,101.1,70352.2648,70352.2648,"Dom",3.40909704426667,1.77753111911628,3089,3089
"78",663,865,3821,8,7,"8_7",23.0635,1.901,0.079,16.5455,1.8505,0.489,0.64,"EAF",2,1378,"A",NA,"1999-12-04","CN",1993,"1993-07-21",1999,6,2327,6,0,16,0,1009,130,29,NA,NA,NA,NA,NA,NA,-0.682039191171392,2580,2580
"79",676,830,3116,8,11,"8_11",23.0875,1.8785,0.187,15.1605,1.777,0.071,1.13,"EAF",1,1357,"A",NA,"1999-11-20","CN",1993,"1993-07-24",1999,6,2310,6,0,16,1,987,127,29,NA,NA,NA,NA,NA,NA,0.600077247170055,2924,2924
"80",677,2531,326,1,35,"1_35",24.21466667,1.873333333,0.166,14.031,1.711666667,0.33,1.06,"EB",1,1352,"A","BrF","1997-07-11","CN",1993,"1993-07-24",1997,4,1448,4,0,16,0,688,141,22,1997,95,60791.90629,60791.90629,"Dom",6.34906043033333,0.41691775597842,2924,2924
"81",774,1108,1870,4,6,"4_6",23.674,1.911666667,0.457,12.143,1.808,0.196,1.22,"EB",1,2763,"A","BrF","2002-09-03","CN",1994,"1994-06-17",2002,8,3000,4.5,3.5,17,0,1100,117,41,NA,NA,NA,NA,"Dom",NA,0.8355680215593,3029,3029
"82",774,2304,3636,8,36,"8_36",23.3355,1.876,0.007,15.505,1.7865,0.23,1.64,"EAF",1,1233,"A","ABX","1995-06-16","CN",1994,"1994-06-17",1995,1,364,4.5,-3.5,17,0,458,117,19,NA,NA,NA,NA,"Sub",NA,1.93452496870911,3029,3029
"83",776,2585,2898,7,39,"7_39",23.471,1.925,0.068,16.14,1.8,0.496,0.64,"EAF",1,1230,"A","BrM","1997-07-23","CN",1994,"1994-06-18",1997,3,1131,3,0,17,1,710,116,22,1997,81,27191.95608,27191.95608,"Dom",6.34906043033333,-0.682039191171392,2248,2248
"84",823,1050,696,2,3,"2_3",23.82633333,1.902,0.313,13.466,1.68,0.324,1.15,"EB",1,2707,"A","BrF","2002-08-11","CN",1994,"1994-05-23",2002,8,3002,6.5,1.5,17,0,1076,13,41,NA,NA,NA,NA,"Dom",NA,0.652408530367665,3523,3054
"85",823,857,2979,7,42,"7_42",23.2815,1.8785,0.005,16.2645,1.798,0.039,0.52,"EAF",2,1170,"A",NA,"1999-12-01","CN",1994,"1994-05-23",1999,5,2018,6.5,-1.5,17,0,1005,13,29,NA,NA,NA,NA,NA,NA,-0.996026890357052,3523,3054
"86",828,2582,24,1,10,"1_10",24.25666667,1.941666667,0.065,13.176,1.712333333,0.447,1.89,"EB",1,1162,"A","ABX","1997-07-22","CN",1994,"1994-05-27",1997,3,1152,3,0,17,1,709,51,22,1997,35,126008.9824,126008.9824,"Sub",6.34906043033333,2.58866600867924,1708,1584
"87",832,244,666,2,23,"2_23",24.08766667,1.932333333,0.465,13.648,1.714333333,0.344,0.7,"EB",1,3102,"A","BrF","2003-12-18","CN",1994,"1994-05-31",2003,9,3488,9,0,17,0,1235,83,31,NA,NA,NA,NA,"Dom",NA,-0.525045341578562,4212,4212
