"","BirdID","FieldPeriodID","Status","BirthDate","Island","PeriodYear","BirthFieldPeriodID","PeriodEnd.x","birthyear","age","survival","PeriodEndYear","SexEstimate","PeriodStart","PeriodEnd.y","seasonlength","season","no_st","nrns","lifespan"
"20",439,16,"BrM","1992-08-07","CN",1992,14,"1993-08-12",1992,0,1,1993,1,"1993-08-07","1993-08-13",6,"main",1,1,1133
"21",439,16,"BrM","1992-08-07","CN",1993,14,"1993-08-12",1992,1,1,1993,1,"1993-08-07","1993-08-13",6,"main",1,1,1133
"22",439,17,"BrM","1992-08-07","CN",1994,14,"1994-07-28",1992,2,1,1994,1,"1994-07-07","1994-07-29",22,"main",1,1,1133
"23",439,19,"SEEN1","1992-08-07","CN",1995,14,"1995-09-13",1992,3,1,1995,1,"1995-05-22","1995-09-14",115,"main",1,1,1133
"24",439,NA,"NS",NA,NA,1996,NA,NA,1992,4,0,1996,1,NA,NA,NA,NA,1,1,1133
"25",440,16,"BrF","1992-08-07","CN",1992,14,"1993-08-12",1992,0,1,1993,0,"1993-08-07","1993-08-13",6,"main",1,1,721
"26",440,16,"BrF","1992-08-07","CN",1993,14,"1993-08-12",1992,1,1,1993,0,"1993-08-07","1993-08-13",6,"main",1,1,721
"27",440,17,"BrF","1992-08-07","CN",1994,14,"1994-07-28",1992,2,1,1994,0,"1994-07-07","1994-07-29",22,"main",1,1,721
"28",440,NA,"NS",NA,NA,1995,NA,NA,1992,3,0,1995,0,NA,NA,NA,NA,1,1,721
"29",441,16,"AB","1992-08-07","CN",1992,14,"1993-08-12",1992,0,1,1993,0,"1993-08-07","1993-08-13",6,"main",1,1,5288
"30",441,16,"AB","1992-08-07","CN",1993,14,"1993-08-12",1992,1,1,1993,0,"1993-08-07","1993-08-13",6,"main",1,1,5288
"31",441,17,"BrF","1992-08-07","CN",1994,14,"1994-07-28",1992,2,1,1994,0,"1994-07-07","1994-07-29",22,"main",1,1,5288
"32",441,19,"BrF","1992-08-07","CN",1995,14,"1995-09-13",1992,3,1,1995,0,"1995-05-22","1995-09-14",115,"main",1,1,5288
"33",441,21,"BrF","1992-08-07","CN",1996,14,"1996-08-10",1992,4,1,1996,0,"1996-06-24","1996-08-11",48,"main",1,1,5288
"34",441,22,"BrF","1992-08-07","CN",1997,14,"1997-08-27",1992,5,1,1997,0,"1997-07-01","1997-08-28",58,"main",1,1,5288
"35",441,25,"BrF","1992-08-07","CN",1998,14,"1998-09-26",1992,6,1,1998,0,"1998-06-20","1998-09-27",99,"main",2,1,5288
"36",441,28,"BrF","1992-08-07","CN",1999,14,"1999-09-25",1992,7,1,1999,0,"1999-07-02","1999-09-26",86,"main",3,1,5288
"37",441,39,"BrF","1992-08-07","CN",2000,14,"2000-08-12",1992,8,1,2000,0,"2000-07-25","2000-08-13",19,"main",1,1,5288
"38",441,40,"BrF","1992-08-07","CN",2001,14,"2001-07-25",1992,9,1,2001,0,"2001-06-29","2001-07-26",27,"main",1,1,5288
"39",441,41,"BrF","1992-08-07","CN",2002,14,"2002-10-01",1992,10,1,2002,0,"2002-07-11","2002-10-02",83,"main",1,1,5288
"40",441,30,"BrF","1992-08-07","CN",2003,14,"2003-09-01",1992,11,1,2003,0,"2003-06-06","2003-09-02",88,"main",2,1,5288
"41",441,34,"BrF","1992-08-07","CN",2004,14,"2004-09-01",1992,12,1,2004,0,"2004-05-30","2004-09-02",95,"main",2,1,5288
"42",441,37,"BrF","1992-08-07","CN",2005,14,"2005-09-10",1992,13,1,2005,0,"2005-05-26","2005-09-11",108,"main",3,1,5288
"43",441,75,"TBrF","1992-08-07","CN",2006,14,"2006-09-01",1992,14,1,2006,0,"2006-06-12","2006-09-02",82,"main",1,1,5288
"44",441,77,"U","1992-08-07","CN",2007,14,"2007-01-28",1992,15,1,2007,0,"2007-01-06","2007-01-29",23,"winter",1,1,5288
"45",441,NA,"NS",NA,NA,2008,NA,NA,1992,16,0,2008,0,NA,NA,NA,NA,1,1,5288
"46",442,16,"AB","1992-08-08","CN",1992,14,"1993-08-12",1992,0,1,1993,0,"1993-08-07","1993-08-13",6,"main",1,1,3707
"47",442,16,"AB","1992-08-08","CN",1993,14,"1993-08-12",1992,1,1,1993,0,"1993-08-07","1993-08-13",6,"main",1,1,3707
"48",442,17,"AB","1992-08-08","CN",1994,14,"1994-07-28",1992,2,1,1994,0,"1994-07-07","1994-07-29",22,"main",1,1,3707
"49",442,19,"H","1992-08-08","CN",1995,14,"1995-09-13",1992,3,1,1995,0,"1995-05-22","1995-09-14",115,"main",1,1,3707
"50",442,21,"H","1992-08-08","CN",1996,14,"1996-08-10",1992,4,1,1996,0,"1996-06-24","1996-08-11",48,"main",1,1,3707
"51",442,22,"H","1992-08-08","CN",1997,14,"1997-08-27",1992,5,1,1997,0,"1997-07-01","1997-08-28",58,"main",1,1,3707
"52",442,25,"H","1992-08-08","CN",1998,14,"1998-09-26",1992,6,1,1998,0,"1998-06-20","1998-09-27",99,"main",2,1,3707
"53",442,28,"ABX","1992-08-08","CN",1999,14,"1999-09-25",1992,7,1,1999,0,"1999-07-02","1999-09-26",86,"main",3,1,3707
"54",442,39,"ABX","1992-08-08","CN",2000,14,"2000-08-12",1992,8,1,2000,0,"2000-07-25","2000-08-13",19,"main",1,1,3707
"55",442,40,"ABX","1992-08-08","CN",2001,14,"2001-07-25",1992,9,1,2001,0,"2001-06-29","2001-07-26",27,"main",1,1,3707
"56",442,41,"ABX","1992-08-08","CN",2002,14,"2002-10-01",1992,10,1,2002,0,"2002-07-11","2002-10-02",83,"main",1,1,3707
"57",442,30,"H","1992-08-08","CN",2003,14,"2003-09-01",1992,11,1,2003,0,"2003-06-06","2003-09-02",88,"main",2,1,3707
"58",442,NA,"NS",NA,NA,2004,NA,NA,1992,12,0,2005,0,NA,NA,NA,NA,1,1,3707
"59",443,16,"BrF","1992-08-08","CN",1992,14,"1993-08-12",1992,0,1,1993,0,"1993-08-07","1993-08-13",6,"main",1,1,1132
"60",443,16,"BrF","1992-08-08","CN",1993,14,"1993-08-12",1992,1,1,1993,0,"1993-08-07","1993-08-13",6,"main",1,1,1132
"61",443,17,"BrF","1992-08-08","CN",1994,14,"1994-07-28",1992,2,1,1994,0,"1994-07-07","1994-07-29",22,"main",1,1,1132
"62",443,19,"BrF","1992-08-08","CN",1995,14,"1995-09-13",1992,3,1,1995,0,"1995-05-22","1995-09-14",115,"main",1,1,1132
"63",443,NA,"NS",NA,NA,1996,NA,NA,1992,4,0,1996,0,NA,NA,NA,NA,1,1,1132
"64",444,16,"AB","1992-12-11","CN",1992,14,"1993-08-12",1992,0,1,1993,0,"1993-08-07","1993-08-13",6,"main",1,1,3149
"65",444,16,"AB","1992-12-11","CN",1993,14,"1993-08-12",1992,1,1,1993,0,"1993-08-07","1993-08-13",6,"main",1,1,3149
"66",444,17,"BrF","1992-12-11","CN",1994,14,"1994-07-28",1992,2,1,1994,0,"1994-07-07","1994-07-29",22,"main",1,1,3149
"67",444,19,"BrF","1992-12-11","CN",1995,14,"1995-09-13",1992,3,1,1995,0,"1995-05-22","1995-09-14",115,"main",1,1,3149
"68",444,21,"BrF","1992-12-11","CN",1996,14,"1996-08-10",1992,4,1,1996,0,"1996-06-24","1996-08-11",48,"main",1,1,3149
"69",444,22,"BrF","1992-12-11","CN",1997,14,"1997-08-27",1992,5,1,1997,0,"1997-07-01","1997-08-28",58,"main",1,1,3149
"70",444,25,"BrF","1992-12-11","CN",1998,14,"1998-09-26",1992,6,1,1998,0,"1998-06-20","1998-09-27",99,"main",2,1,3149
"71",444,28,"BrF","1992-12-11","CN",1999,14,"1999-09-25",1992,7,1,1999,0,"1999-07-02","1999-09-26",86,"main",3,1,3149
"72",444,39,"BrF","1992-12-11","CN",2000,14,"2000-08-12",1992,8,1,2000,0,"2000-07-25","2000-08-13",19,"main",1,1,3149
"73",444,40,"BrF","1992-12-11","CN",2001,14,"2001-07-25",1992,9,1,2001,0,"2001-06-29","2001-07-26",27,"main",1,1,3149
"74",444,41,"NS","1992-12-11","CN",2002,14,"2002-10-01",1992,10,0,2002,0,"2002-07-11","2002-10-02",83,"main",1,1,3149
"75",445,16,"ABX","1992-12-11","CN",1992,14,"1993-08-12",1992,0,1,1993,1,"1993-08-07","1993-08-13",6,"main",1,1,245
"76",445,16,"ABX","1992-12-11","CN",1993,14,"1993-08-12",1992,1,1,1993,1,"1993-08-07","1993-08-13",6,"main",1,1,245
"77",445,NA,"NS",NA,NA,1994,NA,NA,1992,2,0,1994,1,NA,NA,NA,NA,1,1,245
"78",446,16,"BrM","1992-08-10","CN",1992,14,"1993-08-12",1992,0,1,1993,1,"1993-08-07","1993-08-13",6,"main",1,1,368
"79",446,16,"BrM","1992-08-10","CN",1993,14,"1993-08-12",1992,1,1,1993,1,"1993-08-07","1993-08-13",6,"main",1,1,368
"80",446,NA,"NS",NA,NA,1994,NA,NA,1992,2,0,1994,1,NA,NA,NA,NA,1,1,368
"81",447,16,"BrF","1992-08-08","CN",1992,14,"1993-08-12",1992,0,1,1993,0,"1993-08-07","1993-08-13",6,"main",1,1,2605
"82",447,16,"BrF","1992-08-08","CN",1993,14,"1993-08-12",1992,1,1,1993,0,"1993-08-07","1993-08-13",6,"main",1,1,2605
"83",447,17,"BrF","1992-08-08","CN",1994,14,"1994-07-28",1992,2,1,1994,0,"1994-07-07","1994-07-29",22,"main",1,1,2605
"84",447,19,"BrF","1992-08-08","CN",1995,14,"1995-09-13",1992,3,1,1995,0,"1995-05-22","1995-09-14",115,"main",1,1,2605
"85",447,21,"BrF","1992-08-08","CN",1996,14,"1996-08-10",1992,4,1,1996,0,"1996-06-24","1996-08-11",48,"main",1,1,2605
"86",447,22,"BrF","1992-08-08","CN",1997,14,"1997-08-27",1992,5,1,1997,0,"1997-07-01","1997-08-28",58,"main",1,1,2605
"87",447,25,"BrF","1992-08-08","CN",1998,14,"1998-09-26",1992,6,1,1998,0,"1998-06-20","1998-09-27",99,"main",2,1,2605
"88",447,28,"BrF","1992-08-08","CN",1999,14,"1999-09-25",1992,7,1,1999,0,"1999-07-02","1999-09-26",86,"main",3,1,2605
"89",447,39,"NS","1992-08-08","CN",2000,14,"2000-08-12",1992,8,0,2000,0,"2000-07-25","2000-08-13",19,"main",1,1,2605
"90",448,16,"BrM","1992-08-08","CN",1992,14,"1993-08-12",1992,0,1,1993,1,"1993-08-07","1993-08-13",6,"main",1,1,1464
"91",448,16,"BrM","1992-08-08","CN",1993,14,"1993-08-12",1992,1,1,1993,1,"1993-08-07","1993-08-13",6,"main",1,1,1464
"92",448,17,"BrM","1992-08-08","CN",1994,14,"1994-07-28",1992,2,1,1994,1,"1994-07-07","1994-07-29",22,"main",1,1,1464
"93",448,19,"BrM","1992-08-08","CN",1995,14,"1995-09-13",1992,3,1,1995,1,"1995-05-22","1995-09-14",115,"main",1,1,1464
"94",448,21,"BrM","1992-08-08","CN",1996,14,"1996-08-10",1992,4,1,1996,1,"1996-06-24","1996-08-11",48,"main",1,1,1464
"95",448,NA,"NS",NA,NA,1997,NA,NA,1992,5,0,1997,1,NA,NA,NA,NA,1,1,1464
"96",449,16,"ABX","1992-08-09","CN",1992,14,"1993-08-12",1992,0,1,1993,0,"1993-08-07","1993-08-13",6,"main",1,1,2926
"97",449,16,"ABX","1992-08-09","CN",1993,14,"1993-08-12",1992,1,1,1993,0,"1993-08-07","1993-08-13",6,"main",1,1,2926
"98",449,17,"ABX","1992-08-09","CN",1994,14,"1994-07-28",1992,2,1,1994,0,"1994-07-07","1994-07-29",22,"main",1,1,2926
"99",449,19,"BrF","1992-08-09","CN",1995,14,"1995-09-13",1992,3,1,1995,0,"1995-05-22","1995-09-14",115,"main",1,1,2926
"100",449,21,"BrF","1992-08-09","CN",1996,14,"1996-08-10",1992,4,1,1996,0,"1996-06-24","1996-08-11",48,"main",1,1,2926
"101",449,22,"BrF","1992-08-09","CN",1997,14,"1997-08-27",1992,5,1,1997,0,"1997-07-01","1997-08-28",58,"main",1,1,2926
"102",449,25,"BrF","1992-08-09","CN",1998,14,"1998-09-26",1992,6,1,1998,0,"1998-06-20","1998-09-27",99,"main",2,1,2926
"103",449,28,"BrF","1992-08-09","CN",1999,14,"1999-09-25",1992,7,1,1999,0,"1999-07-02","1999-09-26",86,"main",3,1,2926
"104",449,39,"ABX","1992-08-09","CN",2000,14,"2000-08-12",1992,8,1,2000,0,"2000-07-25","2000-08-13",19,"main",1,1,2926
"105",449,NA,"NS",NA,NA,2001,NA,NA,1992,9,0,2001,0,NA,NA,NA,NA,1,1,2926
"106",450,16,"AB","1992-08-09","CN",1992,14,"1993-08-12",1992,0,1,1993,0,"1993-08-07","1993-08-13",6,"main",1,1,2926
"107",450,16,"AB","1992-08-09","CN",1993,14,"1993-08-12",1992,1,1,1993,0,"1993-08-07","1993-08-13",6,"main",1,1,2926
"108",450,17,"NSA","1992-08-09","CN",1994,14,"1994-07-28",1992,2,1,1994,0,"1994-07-07","1994-07-29",22,"main",1,1,2926
"109",450,19,"NSA","1992-08-09","CN",1995,14,"1995-09-13",1992,3,1,1995,0,"1995-05-22","1995-09-14",115,"main",1,1,2926
"110",450,21,"ABX","1992-08-09","CN",1996,14,"1996-08-10",1992,4,1,1996,0,"1996-06-24","1996-08-11",48,"main",1,1,2926
"111",450,22,"BrF","1992-08-09","CN",1997,14,"1997-08-27",1992,5,1,1997,0,"1997-07-01","1997-08-28",58,"main",1,1,2926
"112",450,25,"BrF","1992-08-09","CN",1998,14,"1998-09-26",1992,6,1,1998,0,"1998-06-20","1998-09-27",99,"main",2,1,2926
"113",450,28,"BrF","1992-08-09","CN",1999,14,"1999-09-25",1992,7,1,1999,0,"1999-07-02","1999-09-26",86,"main",3,1,2926
"114",450,39,"BrF","1992-08-09","CN",2000,14,"2000-08-12",1992,8,1,2000,0,"2000-07-25","2000-08-13",19,"main",1,1,2926
"115",450,NA,"NS",NA,NA,2001,NA,NA,1992,9,0,2001,0,NA,NA,NA,NA,1,1,2926
"116",451,16,"ABX","1992-08-09","CN",1992,14,"1993-08-12",1992,0,1,1993,0,"1993-08-07","1993-08-13",6,"main",1,1,369
"117",451,16,"ABX","1992-08-09","CN",1993,14,"1993-08-12",1992,1,1,1993,0,"1993-08-07","1993-08-13",6,"main",1,1,369
"118",451,NA,"NS",NA,NA,1994,NA,NA,1992,2,0,1994,0,NA,NA,NA,NA,1,1,369
"119",452,16,"ABX","1992-12-13","CN",1992,14,"1993-08-12",1992,0,1,1993,1,"1993-08-07","1993-08-13",6,"main",1,1,243
"120",452,16,"ABX","1992-12-13","CN",1993,14,"1993-08-12",1992,1,1,1993,1,"1993-08-07","1993-08-13",6,"main",1,1,243
"121",452,NA,"NS",NA,NA,1994,NA,NA,1992,2,0,1994,1,NA,NA,NA,NA,1,1,243
"122",453,16,"AB","1992-08-10","CN",1992,14,"1993-08-12",1992,0,1,1993,1,"1993-08-07","1993-08-13",6,"main",1,1,6430
"123",453,16,"AB","1992-08-10","CN",1993,14,"1993-08-12",1992,1,1,1993,1,"1993-08-07","1993-08-13",6,"main",1,1,6430
"124",453,17,"NSA","1992-08-10","CN",1994,14,"1994-07-28",1992,2,1,1994,1,"1994-07-07","1994-07-29",22,"main",1,1,6430
"125",453,19,"SEEN1","1992-08-10","CN",1995,14,"1995-09-13",1992,3,1,1995,1,"1995-05-22","1995-09-14",115,"main",1,1,6430
"126",453,21,"BrM","1992-08-10","CN",1996,14,"1996-08-10",1992,4,1,1996,1,"1996-06-24","1996-08-11",48,"main",1,1,6430
"127",453,22,"BrM","1992-08-10","CN",1997,14,"1997-08-27",1992,5,1,1997,1,"1997-07-01","1997-08-28",58,"main",1,1,6430
"128",453,25,"BrM","1992-08-10","CN",1998,14,"1998-09-26",1992,6,1,1998,1,"1998-06-20","1998-09-27",99,"main",2,1,6430
"129",453,28,"BrM","1992-08-10","CN",1999,14,"1999-09-25",1992,7,1,1999,1,"1999-07-02","1999-09-26",86,"main",3,1,6430
"130",453,39,"BrM","1992-08-10","CN",2000,14,"2000-08-12",1992,8,1,2000,1,"2000-07-25","2000-08-13",19,"main",1,1,6430
"131",453,40,"NSA","1992-08-10","CN",2001,14,"2001-07-25",1992,9,1,2001,1,"2001-06-29","2001-07-26",27,"main",1,1,6430
"132",453,41,"NSA","1992-08-10","CN",2002,14,"2002-10-01",1992,10,1,2002,1,"2002-07-11","2002-10-02",83,"main",1,1,6430
"133",453,30,"BrM","1992-08-10","CN",2003,14,"2003-09-01",1992,11,1,2003,1,"2003-06-06","2003-09-02",88,"main",2,1,6430
"134",453,34,"BrM","1992-08-10","CN",2004,14,"2004-09-01",1992,12,1,2004,1,"2004-05-30","2004-09-02",95,"main",2,1,6430
"135",453,37,"BrM","1992-08-10","CN",2005,14,"2005-09-10",1992,13,1,2005,1,"2005-05-26","2005-09-11",108,"main",3,1,6430
"136",453,75,"BrM","1992-08-10","CN",2006,14,"2006-09-01",1992,14,1,2006,1,"2006-06-12","2006-09-02",82,"main",1,1,6430
"137",453,82,"BrM","1992-08-10","CN",2007,14,"2007-09-15",1992,15,1,2007,1,"2007-06-14","2007-09-16",94,"main",2,1,6430
"138",453,87,"BrM","1992-08-10","CN",2008,14,"2008-09-06",1992,16,1,2008,1,"2008-07-10","2008-09-07",59,"main",2,1,6430
"139",453,92,"BrM","1992-08-10","CN",2009,14,"2009-09-17",1992,17,1,2009,1,"2009-06-08","2009-09-18",102,"main",2,1,6430
"140",453,103,"BrM","1992-08-10","CN",2010,14,"2010-03-18",1992,18,1,2010,1,"2010-02-12","2010-03-19",35,"winter",1,1,6430
"141",453,NA,"NS",NA,NA,2011,NA,NA,1992,19,0,2011,1,NA,NA,NA,NA,1,1,6430
"142",454,16,"BrF","1992-08-10","CN",1992,14,"1993-08-12",1992,0,1,1993,0,"1993-08-07","1993-08-13",6,"main",1,1,3705
"143",454,16,"BrF","1992-08-10","CN",1993,14,"1993-08-12",1992,1,1,1993,0,"1993-08-07","1993-08-13",6,"main",1,1,3705
"144",454,17,"BrF","1992-08-10","CN",1994,14,"1994-07-28",1992,2,1,1994,0,"1994-07-07","1994-07-29",22,"main",1,1,3705
"145",454,19,"BrF","1992-08-10","CN",1995,14,"1995-09-13",1992,3,1,1995,0,"1995-05-22","1995-09-14",115,"main",1,1,3705
"146",454,21,"BrF","1992-08-10","CN",1996,14,"1996-08-10",1992,4,1,1996,0,"1996-06-24","1996-08-11",48,"main",1,1,3705
"147",454,22,"BrF","1992-08-10","CN",1997,14,"1997-08-27",1992,5,1,1997,0,"1997-07-01","1997-08-28",58,"main",1,1,3705
"148",454,25,"BrF","1992-08-10","CN",1998,14,"1998-09-26",1992,6,1,1998,0,"1998-06-20","1998-09-27",99,"main",2,1,3705
"149",454,28,"BrF","1992-08-10","CN",1999,14,"1999-09-25",1992,7,1,1999,0,"1999-07-02","1999-09-26",86,"main",3,1,3705
"150",454,39,"BrF","1992-08-10","CN",2000,14,"2000-08-12",1992,8,1,2000,0,"2000-07-25","2000-08-13",19,"main",1,1,3705
"151",454,40,"BrF","1992-08-10","CN",2001,14,"2001-07-25",1992,9,1,2001,0,"2001-06-29","2001-07-26",27,"main",1,1,3705
"152",454,41,"BrF","1992-08-10","CN",2002,14,"2002-10-01",1992,10,1,2002,0,"2002-07-11","2002-10-02",83,"main",1,1,3705
"153",454,30,"BrF","1992-08-10","CN",2003,14,"2003-09-01",1992,11,1,2003,0,"2003-06-06","2003-09-02",88,"main",2,1,3705
"154",454,NA,"NS",NA,NA,2004,NA,NA,1992,12,0,2005,0,NA,NA,NA,NA,1,1,3705
"155",455,16,"BrF","1992-08-10","CN",1992,14,"1993-08-12",1992,0,1,1993,0,"1993-08-07","1993-08-13",6,"main",1,1,1844
"156",455,16,"BrF","1992-08-10","CN",1993,14,"1993-08-12",1992,1,1,1993,0,"1993-08-07","1993-08-13",6,"main",1,1,1844
"157",455,17,"NSA","1992-08-10","CN",1994,14,"1994-07-28",1992,2,1,1994,0,"1994-07-07","1994-07-29",22,"main",1,1,1844
"158",455,19,"NSA","1992-08-10","CN",1995,14,"1995-09-13",1992,3,1,1995,0,"1995-05-22","1995-09-14",115,"main",1,1,1844
"159",455,21,"BrF","1992-08-10","CN",1996,14,"1996-08-10",1992,4,1,1996,0,"1996-06-24","1996-08-11",48,"main",1,1,1844
"160",455,22,"BrF","1992-08-10","CN",1997,14,"1997-08-27",1992,5,1,1997,0,"1997-07-01","1997-08-28",58,"main",1,1,1844
"161",455,NA,"NS",NA,NA,1998,NA,NA,1992,6,0,1998,0,NA,NA,NA,NA,1,1,1844
"162",456,16,"BrF","1992-08-10","CN",1992,14,"1993-08-12",1992,0,1,1993,0,"1993-08-07","1993-08-13",6,"main",1,1,368
"163",456,16,"BrF","1992-08-10","CN",1993,14,"1993-08-12",1992,1,1,1993,0,"1993-08-07","1993-08-13",6,"main",1,1,368
"164",456,NA,"NS",NA,NA,1994,NA,NA,1992,2,0,1994,0,NA,NA,NA,NA,1,1,368
"165",457,16,"BrF","1992-08-10","CN",1992,14,"1993-08-12",1992,0,1,1993,0,"1993-08-07","1993-08-13",6,"main",1,1,2239
"166",457,16,"BrF","1992-08-10","CN",1993,14,"1993-08-12",1992,1,1,1993,0,"1993-08-07","1993-08-13",6,"main",1,1,2239
"167",457,17,"BrF","1992-08-10","CN",1994,14,"1994-07-28",1992,2,1,1994,0,"1994-07-07","1994-07-29",22,"main",1,1,2239
"168",457,19,"BrF","1992-08-10","CN",1995,14,"1995-09-13",1992,3,1,1995,0,"1995-05-22","1995-09-14",115,"main",1,1,2239
"169",457,21,"BrF","1992-08-10","CN",1996,14,"1996-08-10",1992,4,1,1996,0,"1996-06-24","1996-08-11",48,"main",1,1,2239
"170",457,22,"BrF","1992-08-10","CN",1997,14,"1997-08-27",1992,5,1,1997,0,"1997-07-01","1997-08-28",58,"main",1,1,2239
"171",457,25,"BrF","1992-08-10","CN",1998,14,"1998-09-26",1992,6,1,1998,0,"1998-06-20","1998-09-27",99,"main",2,1,2239
"172",457,26,"NS","1992-08-10","CN",1999,14,"1999-01-28",1992,7,0,1999,0,"1999-01-12","1999-01-29",17,"winter",1,1,2239
"173",458,16,"BrF","1992-08-11","CN",1992,14,"1993-08-12",1992,0,1,1993,0,"1993-08-07","1993-08-13",6,"main",1,1,3704
"174",458,16,"BrF","1992-08-11","CN",1993,14,"1993-08-12",1992,1,1,1993,0,"1993-08-07","1993-08-13",6,"main",1,1,3704
"175",458,17,"SEEN1","1992-08-11","CN",1994,14,"1994-07-28",1992,2,1,1994,0,"1994-07-07","1994-07-29",22,"main",1,1,3704
"176",458,19,"BrF","1992-08-11","CN",1995,14,"1995-09-13",1992,3,1,1995,0,"1995-05-22","1995-09-14",115,"main",1,1,3704
"177",458,21,"BrF","1992-08-11","CN",1996,14,"1996-08-10",1992,4,1,1996,0,"1996-06-24","1996-08-11",48,"main",1,1,3704
"178",458,22,"BrF","1992-08-11","CN",1997,14,"1997-08-27",1992,5,1,1997,0,"1997-07-01","1997-08-28",58,"main",1,1,3704
"179",458,25,"BrF","1992-08-11","CN",1998,14,"1998-09-26",1992,6,1,1998,0,"1998-06-20","1998-09-27",99,"main",2,1,3704
"180",458,28,"BrF","1992-08-11","CN",1999,14,"1999-09-25",1992,7,1,1999,0,"1999-07-02","1999-09-26",86,"main",3,1,3704
"181",458,39,"BrF","1992-08-11","CN",2000,14,"2000-08-12",1992,8,1,2000,0,"2000-07-25","2000-08-13",19,"main",1,1,3704
"182",458,40,"BrF","1992-08-11","CN",2001,14,"2001-07-25",1992,9,1,2001,0,"2001-06-29","2001-07-26",27,"main",1,1,3704
"183",458,41,"BrF","1992-08-11","CN",2002,14,"2002-10-01",1992,10,1,2002,0,"2002-07-11","2002-10-02",83,"main",1,1,3704
"184",458,30,"BrF","1992-08-11","CN",2003,14,"2003-09-01",1992,11,1,2003,0,"2003-06-06","2003-09-02",88,"main",2,1,3704
"185",458,34,"BrF","1992-08-11","CN",2004,14,"2004-09-01",1992,12,1,2004,0,"2004-05-30","2004-09-02",95,"main",2,1,3704
"186",458,37,"U","1992-08-11","CN",2005,14,"2005-09-10",1992,13,1,2005,0,"2005-05-26","2005-09-11",108,"main",2,1,3704
"187",458,NA,"NS",NA,NA,2006,NA,NA,1992,14,0,2006,0,NA,NA,NA,NA,1,1,3704
"188",459,16,"AB","1992-08-11","CN",1992,14,"1993-08-12",1992,0,1,1993,0,"1993-08-07","1993-08-13",6,"main",1,1,5284
"189",459,16,"AB","1992-08-11","CN",1993,14,"1993-08-12",1992,1,1,1993,0,"1993-08-07","1993-08-13",6,"main",1,1,5284
"190",459,17,"AB","1992-08-11","CN",1994,14,"1994-07-28",1992,2,1,1994,0,"1994-07-07","1994-07-29",22,"main",1,1,5284
