"";"BirdID";"NestWatchID";"Behaviour";"NestID";"LayDateEarliest";"LayDateLatest";"HatchDateEarliest";"HatchDateLatest";"WatchDate";"BreedGroupID";"ClutchSize";"BroodSize";"ObsDuration";"StartTime";"StatusID";"Status";"Observer";"year";"nrfeeding";"prate";"birthyear";"birthday";"age";"age_years";"age_days";"FieldPeriodID";"TerritoryID";"PeriodStart";"PeriodEnd";"PeriodYear";"groupsize";"nr_helpers";"Island";"Year";"TerritoryNumber";"TQ";"TQcorrected";"prate_z";"lifespan";"lifespan_yrs";"AveAge";"WithinAge";"newstat";"occasionyear";"avg_invert";"SexEstimate";"WatchType";"newlifespan"
"11";168;362;FALSE;85;"1997-07-05";"1997-07-08";"1997-07-20";"1997-07-20";"1997-08-20";70;1;1;60;"16:30:00";2951;"BrF";NA;1997;10;0,166666666666667;1989;"1989-07-15";8;8;2958;22;89;"1997-07-01";"1997-08-28";1997;6;1;"CN";1997;60;72541,18661;72541,18661;0,61064655596247;4394;12,0383561643836;6,66666666666667;1,33333333333333;"Dom";1997;6,34906043033333;0;"FL";4394
"12";169;384;FALSE;194;"1998-08-24";"1998-08-24";"1998-09-07";"1998-09-07";"1998-09-12";207;1;1;60;"11:25:00";3559;"BrF";NA;1998;3;0,05;1988;"1988-09-13";10;10;3651;25;28;"1998-06-20";"1998-09-27";1998;5;0;"CN";1998;22;50699,13154;50699,13154;-0,984630675080341;4352;11,9232876712329;10;0;"Dom";1998;3,40909704426667;0;"FI";4030
"13";169;344;FALSE;32;"1997-07-16";"1997-07-21";"1997-08-02";"1997-08-02";"1997-08-01";31;1;1;60;"14:10:00";2810;"BrF";NA;1997;4;0,0666666666666667;1988;"1988-09-13";9;9;3244;22;28;"1997-07-01";"1997-08-28";1997;6;0;"CN";1997;22;69733,41141;69733,41141;-0,756733927788511;4352;11,9232876712329;10;-1;"Dom";1997;6,34906043033333;0;"FI";4030
"14";169;383;FALSE;194;"1998-08-24";"1998-08-24";"1998-09-07";"1998-09-07";"1998-09-10";207;1;1;60;"11:07:00";3559;"BrF";NA;1998;3;0,05;1988;"1988-09-13";10;10;3649;25;28;"1998-06-20";"1998-09-27";1998;5;0;"CN";1998;22;50699,13154;50699,13154;-0,984630675080341;4352;11,9232876712329;10;0;"Dom";1998;3,40909704426667;0;"FI";4030
"15";169;1209;FALSE;411;"1999-07-08";"1999-07-10";"1999-07-24";"1999-07-30";"1999-07-29";369;1;1;60;"15:05:00";4477;"BrF";NA;1999;6;0,1;1988;"1988-09-13";11;11;3971;28;28;"1999-07-02";"1999-09-26";1999;4;0;"CN";1999;22;24793,16777;24793,16777;-0,300940433204852;4352;11,9232876712329;10;1;"Dom";1999;5,15521640586667;0;"F";4030
"16";172;357;FALSE;25;"1997-07-25";"1997-07-25";"1997-08-09";"1997-08-09";"1997-08-11";26;1;1;60;"14:45:00";2791;"BrF";NA;1997;7;0,116666666666667;1989;"1989-07-15";8;8;2949;22;22;"1997-07-01";"1997-08-28";1997;4;0;"CN";1997;16;146611,0231;146611,0231;-0,0730436859130179;2966;8,12602739726027;8;0;"Dom";1997;6,34906043033333;0;"FI";2966
"17";176;530;FALSE;463;"1999-07-11";"1999-07-14";"1999-07-29";"1999-07-30";"1999-08-04";391;1;1;60;"08:30:00";4571;"BrM";NA;1999;4;0,0666666666666667;1988;"1988-09-13";11;11;3977;28;63;"1999-07-02";"1999-09-26";1999;5;1;"CN";1999;46;93748,2493;93748,2493;-0,756733927788511;5467;14,9780821917808;9;2;"Dom";1999;5,15521640586667;1;"FI";5132
"18";176;359;FALSE;65;"1997-07-17";"1997-07-22";"1997-08-02";"1997-08-07";"1997-08-08";53;1;1;90;"07:20:00";2895;"BrM";NA;1997;8;0,0888888888888889;1988;"1988-09-13";9;9;3251;22;63;"1997-07-01";"1997-08-28";1997;5;1;"CN";1997;46;136778,8554;136778,8554;-0,452871598066071;5467;14,9780821917808;9;0;"Dom";1997;6,34906043033333;1;"FI";5132
"19";176;668;FALSE;3344;"1995-08-06";"1995-08-24";"1995-08-24";"1995-09-11";"1995-09-11";2115;2;1;60;"15:33:00";5781;"BrM";NA;1995;3;0,05;1988;"1988-09-13";7;7;2554;19;63;"1995-05-22";"1995-09-14";1995;12;2;NA;NA;NA;NA;NA;-0,984630675080341;5467;14,9780821917808;9;-2;"Dom";1995;NA;1;"F";5132
"20";178;597;FALSE;896;"1996-07-01";"1996-07-01";"1996-07-19";"1996-07-23";"1996-07-26";13;1;1;60;"11:50:00";6200;"BrM";NA;1996;5;0,0833333333333333;1988;"1988-09-13";8;8;2873;21;103;"1996-06-24";"1996-08-11";1996;6;1;"CN";1996;71;23163,17749;23163,17749;-0,528837180496682;3483;9,54246575342466;7,33333333333333;0,666666666666667;"Dom";1996;5,50450219233333;1;"FI";3483
"21";178;640;FALSE;1594;"1995-06-30";"1995-06-30";"1995-07-18";"1995-07-18";"1995-07-24";2133;1;1;90;"08:35:00";5853;"BrM";NA;1995;12;0,133333333333333;1988;"1988-09-13";7;7;2505;19;103;"1995-05-22";"1995-09-14";1995;7;1;NA;NA;NA;NA;NA;0,154853061378802;3483;9,54246575342466;7,33333333333333;-0,333333333333333;"Dom";1995;NA;1;"F";3483
"22";178;636;FALSE;1594;"1995-06-30";"1995-06-30";"1995-07-18";"1995-07-18";"1995-07-20";2133;1;1;90;"08:33:00";5853;"BrM";NA;1995;9;0,1;1988;"1988-09-13";7;7;2501;19;103;"1995-05-22";"1995-09-14";1995;7;1;NA;NA;NA;NA;NA;-0,300940433204852;3483;9,54246575342466;7,33333333333333;-0,333333333333333;"Dom";1995;NA;1;"FI";3483
"23";178;645;FALSE;1594;"1995-06-30";"1995-06-30";"1995-07-18";"1995-07-18";"1995-07-27";2133;1;1;75;"16:46:00";5853;"BrM";NA;1995;3;0,04;1988;"1988-09-13";7;7;2508;19;103;"1995-05-22";"1995-09-14";1995;7;1;NA;NA;NA;NA;NA;-1,12136872345544;3483;9,54246575342466;7,33333333333333;-0,333333333333333;"Dom";1995;NA;1;"F";3483
"24";178;682;FALSE;1594;"1995-06-30";"1995-06-30";"1995-07-18";"1995-07-18";"1995-08-11";2133;1;1;90;"00:00:00";5853;"BrM";NA;1995;13;0,144444444444444;1988;"1988-09-13";7;7;2523;19;103;"1995-05-22";"1995-09-14";1995;7;1;NA;NA;NA;NA;NA;0,30678422624002;3483;9,54246575342466;7,33333333333333;-0,333333333333333;"Dom";1995;NA;1;"FL";3483
"25";178;625;FALSE;896;"1996-07-01";"1996-07-01";"1996-07-19";"1996-07-23";"1996-08-10";13;1;1;60;"10:45:00";6200;"BrM";NA;1996;5;0,0833333333333333;1988;"1988-09-13";8;8;2888;21;103;"1996-06-24";"1996-08-11";1996;6;1;"CN";1996;71;23163,17749;23163,17749;-0,528837180496682;3483;9,54246575342466;7,33333333333333;0,666666666666667;"Dom";1996;5,50450219233333;1;"F";3483
"26";199;762;FALSE;743;"2003-08-05";"2003-08-07";"2003-08-21";"2003-08-21";"2003-08-26";473;2;1;90;"15:30:00";7149;"BrF";NA;2003;5;0,0555555555555556;1986;"1986-12-02";17;17;6111;30;42;"2003-06-06";"2003-09-02";2003;5;2;"CN";2003;30,1;47112,15993;47112,15993;-0,90866509264973;6252;17,1287671232877;12;5;"Dom";2003;3,65308711307692;NA;"F";5783
"27";199;600;FALSE;2169;"1996-06-24";"1996-06-28";"1996-07-10";"1996-07-10";"1996-07-24";2221;1;1;60;"14:40:00";6069;"BrF";NA;1996;7;0,116666666666667;1986;"1986-12-02";10;10;3522;21;41;"1996-06-24";"1996-08-11";1996;8;1;"CN";1996;30;32144,08743;32144,08743;-0,0730436859130179;6252;17,1287671232877;12;-2;"Dom";1996;5,50450219233333;NA;"F";5783
"28";199;433;FALSE;216;"1998-07-24";"1998-07-27";"1998-08-11";"1998-08-14";"1998-08-31";214;1;1;60;"15:27:00";3589;"BrF";NA;1998;6;0,1;1986;"1986-12-02";12;12;4290;25;42;"1998-06-20";"1998-09-27";1998;5;2;"CN";1998;30,1;41120,85803;41120,85803;-0,300940433204852;6252;17,1287671232877;12;0;"Dom";1998;3,40909704426667;NA;"F";5783
"29";199;353;FALSE;41;"1997-07-26";"1997-07-26";"1997-08-08";"1997-08-08";"1997-08-07";37;2;1;90;"14:05:00";2835;"BrF";NA;1997;13;0,144444444444444;1986;"1986-12-02";11;11;3901;22;42;"1997-07-01";"1997-08-28";1997;9;1;"CN";1997;30,1;99126,94;99126,94;0,30678422624002;6252;17,1287671232877;12;-1;"Dom";1997;6,34906043033333;NA;"FI";5783
"30";199;1262;FALSE;2169;"1996-06-24";"1996-06-28";"1996-07-10";"1996-07-10";"1996-07-12";2221;1;1;60;"14:08:00";6069;"BrF";NA;1996;13;0,216666666666667;1986;"1986-12-02";10;10;3510;21;41;"1996-06-24";"1996-08-11";1996;8;1;"CN";1996;30;32144,08743;32144,08743;1,29433679783796;6252;17,1287671232877;12;-2;"Dom";1996;5,50450219233333;NA;"F";5783
"31";200;1199;FALSE;537;"1999-08-06";"1999-08-06";"1999-08-23";"1999-08-23";"1999-08-26";356;1;1;60;"16:45:00";4433;"BrM";NA;1999;9;0,15;1988;"1988-09-10";11;11;4002;28;12;"1999-07-02";"1999-09-26";1999;4;0;"CN";1999;7;48257,44541;48257,44541;0,382749808670636;4355;11,9315068493151;9,6;1,4;"Dom";1999;5,15521640586667;1;"FI";4033
"32";200;371;FALSE;309;"1998-08-03";"1998-08-04";"1998-08-19";"1998-08-19";"1998-08-19";195;1;1;60;"10:25:00";3522;"BrM";NA;1998;6;0,1;1988;"1988-09-10";10;10;3630;25;12;"1998-06-20";"1998-09-27";1998;4;0;"CN";1998;7;44447,00524;44447,00524;-0,300940433204852;4355;11,9315068493151;9,6;0,4;"Dom";1998;3,40909704426667;1;"FI";4033
"33";200;373;FALSE;309;"1998-08-03";"1998-08-04";"1998-08-19";"1998-08-19";"1998-09-02";195;1;1;60;"08:16:00";3522;"BrM";NA;1998;9;0,15;1988;"1988-09-10";10;10;3644;25;12;"1998-06-20";"1998-09-27";1998;4;0;"CN";1998;7;44447,00524;44447,00524;0,382749808670636;4355;11,9315068493151;9,6;0,4;"Dom";1998;3,40909704426667;1;"FI";4033
"34";200;647;FALSE;1593;"1995-07-03";"1995-07-10";"1995-07-21";"1995-07-26";"1995-07-29";2084;1;1;75;"09:43:00";5633;"BrM";NA;1995;14;0,186666666666667;1988;"1988-09-10";7;7;2513;19;12;"1995-05-22";"1995-09-14";1995;6;0;NA;NA;NA;NA;NA;0,884122652712666;4355;11,9315068493151;9,6;-2,6;"Dom";1995;NA;1;"FI";4033
"35";200;370;FALSE;308;"1998-06-28";"1998-07-03";"1998-07-19";"1998-07-19";"1998-07-21";195;1;1;60;"08:00:00";3522;"BrM";NA;1998;13;0,216666666666667;1988;"1988-09-10";10;10;3601;25;12;"1998-06-20";"1998-09-27";1998;4;0;"CN";1998;7;44447,00524;44447,00524;1,29433679783796;4355;11,9315068493151;9,6;0,4;"Dom";1998;3,40909704426667;1;"FI";4033
"36";207;1260;FALSE;1588;"1995-06-18";"1995-07-10";"1995-07-07";"1995-07-26";"1995-07-25";2110;1;1;90;"10:15:00";5750;"BrF";NA;1995;15;0,166666666666667;1988;"1988-11-22";7;7;2436;19;56;"1995-05-22";"1995-09-14";1995;5;0;NA;NA;NA;NA;NA;0,61064655596247;3201;8,76986301369863;7;0;"Dom";1995;NA;0;"FI";3201
"37";215;1187;FALSE;401;"1999-08-12";"1999-08-12";"1999-08-28";"1999-08-28";"1999-08-29";366;1;1;60;"10:00:00";4468;"BrM";NA;1999;8;0,133333333333333;1988;"1988-07-27";11;11;4050;28;25;"1999-07-02";"1999-09-26";1999;5;0;"CN";1999;19;55897,51751;55897,51751;0,154853061378802;4400;12,0547945205479;11;0;"Dom";1999;5,15521640586667;1;"FI";4078
"38";216;398;FALSE;227;"1998-07-22";"1998-07-22";"1998-08-10";"1998-08-10";"1998-08-24";221;2;2;60;"12:00:00";3621;"BrM";NA;1998;12;0,2;1988;"1988-07-27";10;10;3680;25;53;"1998-06-20";"1998-09-27";1998;7;1;"CN";1998;37;35118,93367;35118,93367;1,06644005054613;5180;14,1917808219178;10;0;"Dom";1998;3,40909704426667;1;"F";4747
"39";216;396;FALSE;227;"1998-07-22";"1998-07-22";"1998-08-10";"1998-08-10";"1998-08-11";221;2;2;60;"12:10:00";3621;"BrM";NA;1998;8;0,133333333333333;1988;"1988-07-27";10;10;3667;25;53;"1998-06-20";"1998-09-27";1998;7;1;"CN";1998;37;35118,93367;35118,93367;0,154853061378802;5180;14,1917808219178;10;0;"Dom";1998;3,40909704426667;1;"FI";4747
"40";217;582;FALSE;1601;"1996-05-24";"1996-06-09";"1996-06-12";"1996-06-26";"1996-06-30";2266;1;1;60;"11:35:00";6226;"BrF";NA;1996;12;0,2;1988;"1988-08-02";8;8;2889;21;112;"1996-06-24";"1996-08-11";1996;7;1;"CN";1996;78;79240,81881;79240,81881;1,06644005054613;2931;8,03013698630137;7,5;0,5;"Dom";1996;5,50450219233333;0;"F";2931
"41";217;663;FALSE;2219;NA;"1995-06-30";NA;"1995-07-17";"1995-08-01";2141;1;1;90;"11:31:00";5881;"BrF";NA;1995;30;0,333333333333333;1988;"1988-08-02";7;7;2555;19;112;"1995-05-22";"1995-09-14";1995;7;0;NA;NA;NA;NA;NA;2,88961402888076;2931;8,03013698630137;7,5;-0,5;"Dom";1995;NA;0;"FL";2931
"42";220;1181;FALSE;406;"1999-07-13";"1999-07-13";"1999-07-28";"1999-07-28";"1999-08-01";367;1;1;60;"12:00:00";4471;"BrM";NA;1999;11;0,183333333333333;1988;"1988-08-12";11;11;4006;28;26;"1999-07-02";"1999-09-26";1999;5;0;"CN";1999;20;83482,45422;83482,45422;0,838543303254291;5164;14,1479452054795;11;0;"Dom";1999;5,15521640586667;1;"FI";4731
"43";221;1261;FALSE;2174;"1996-06-27";"1996-06-27";"1996-07-15";"1996-08-06";"1996-07-07";2224;1;1;60;"16:50:00";6079;"BrM";NA;1996;3;0,05;1988;"1988-06-25";8;8;2934;21;45;"1996-06-24";"1996-08-11";1996;6;1;"CN";1996;32;77104,52608;77104,52608;-0,984630675080341;6378;17,4739726027397;8;0;"Dom";1996;5,50450219233333;1;"F";6378
"44";293;617;FALSE;2889;"1996-07-11";"1996-07-11";"1996-07-27";"1996-07-27";"1996-07-30";2218;1;1;60;"11:00:00";6058;"BrM";NA;1996;8;0,133333333333333;1988;"1988-09-13";8;8;2877;21;35;"1996-06-24";"1996-08-11";1996;5;0;"CN";1996;26,1;86614,03618;86614,03618;0,154853061378802;2889;7,91506849315068;8;0;"Dom";1996;5,50450219233333;1;"FI";2889
"45";297;1277;FALSE;329;"1997-12-20";"1998-01-04";"1998-01-18";"1998-01-18";"1998-01-26";169;1;1;90;"07:52:00";3385;"BrF";NA;1998;11;0,122222222222222;1989;"1989-01-16";9;9;3297;23;115;"1997-12-20";"1998-03-28";1998;6;2;"CN";1998;80;113673,9502;113673,9502;0,00292189651758422;4574;12,5315068493151;8,33333333333333;0,666666666666666;"Dom";1998;5,83789656866667;0;"F";4574
"46";297;584;FALSE;2168;"1996-06-05";"1996-06-10";"1996-06-24";"1996-06-26";"1996-07-02";2267;1;1;60;"08:26:00";6229;"H";NA;1996;2;0,0333333333333333;1989;"1989-01-16";7;7;2724;21;115;"1996-06-24";"1996-08-11";1996;5;1;"CN";1996;80;157587,9756;157587,9756;-1,21252742237217;4574;12,5315068493151;8,33333333333333;-1,33333333333333;"Sub";1996;5,50450219233333;0;"FI";4574
"47";297;417;FALSE;330;"1998-08-11";"1998-08-16";"1998-08-29";"1998-09-01";"1998-09-06";259;2;1;60;"16:50:00";3733;"BrF";NA;1998;9;0,15;1989;"1989-01-16";9;9;3520;25;115;"1998-06-20";"1998-09-27";1998;6;2;"CN";1998;80;88981,34656;88981,34656;0,382749808670636;4574;12,5315068493151;8,33333333333333;0,666666666666666;"Dom";1998;3,40909704426667;0;"F";4574
"48";298;584;FALSE;2168;"1996-06-05";"1996-06-10";"1996-06-24";"1996-06-26";"1996-07-02";2267;1;1;60;"08:26:00";6231;"BrM";NA;1996;5;0,0833333333333333;1988;"1988-09-13";8;8;2849;21;115;"1996-06-24";"1996-08-11";1996;5;1;"CN";1996;80;157587,9756;157587,9756;-0,528837180496682;2889;7,91506849315068;8;0;"Dom";1996;5,50450219233333;1;"FI";2889
"49";308;397;FALSE;227;"1998-07-22";"1998-07-22";"1998-08-10";"1998-08-10";"1998-08-15";221;2;2;60;"15:00:00";3620;"BrF";NA;1998;7;0,116666666666667;1990;"1990-08-10";8;8;2927;25;53;"1998-06-20";"1998-09-27";1998;7;1;"CN";1998;37;35118,93367;35118,93367;-0,0730436859130179;4436;12,1534246575342;8;0;"Dom";1998;3,40909704426667;0;"FI";4003
"50";308;398;FALSE;227;"1998-07-22";"1998-07-22";"1998-08-10";"1998-08-10";"1998-08-24";221;2;2;60;"12:00:00";3620;"BrF";NA;1998;15;0,25;1990;"1990-08-10";8;8;2936;25;53;"1998-06-20";"1998-09-27";1998;7;1;"CN";1998;37;35118,93367;35118,93367;1,75013029242161;4436;12,1534246575342;8;0;"Dom";1998;3,40909704426667;0;"F";4003
"51";308;396;FALSE;227;"1998-07-22";"1998-07-22";"1998-08-10";"1998-08-10";"1998-08-11";221;2;2;60;"12:10:00";3620;"BrF";NA;1998;5;0,0833333333333333;1990;"1990-08-10";8;8;2923;25;53;"1998-06-20";"1998-09-27";1998;7;1;"CN";1998;37;35118,93367;35118,93367;-0,528837180496682;4436;12,1534246575342;8;0;"Dom";1998;3,40909704426667;0;"FI";4003
"52";329;584;FALSE;2168;"1996-06-05";"1996-06-10";"1996-06-24";"1996-06-26";"1996-07-02";2267;1;1;60;"08:26:00";6230;"BrF";NA;1996;2;0,0333333333333333;1988;"1988-09-13";8;8;2849;21;115;"1996-06-24";"1996-08-11";1996;5;1;"CN";1996;80;157587,9756;157587,9756;-1,21252742237217;4699;12,8739726027397;9,33333333333333;-1,33333333333333;"Dom";1996;5,50450219233333;0;"FI";4699
"53";329;417;FALSE;330;"1998-08-11";"1998-08-16";"1998-08-29";"1998-09-01";"1998-09-06";259;2;1;60;"16:50:00";3736;"H";NA;1998;3;0,05;1988;"1988-09-13";10;10;3645;25;115;"1998-06-20";"1998-09-27";1998;6;2;"CN";1998;80;88981,34656;88981,34656;-0,984630675080341;4699;12,8739726027397;9,33333333333333;0,666666666666666;"Sub";1998;3,40909704426667;0;"F";4699
"54";329;1277;FALSE;329;"1997-12-20";"1998-01-04";"1998-01-18";"1998-01-18";"1998-01-26";169;1;1;90;"07:52:00";3384;"H";NA;1998;4;0,0444444444444444;1988;"1988-09-13";10;10;3422;23;115;"1997-12-20";"1998-03-28";1998;6;2;"CN";1998;80;113673,9502;113673,9502;-1,06059625751095;4699;12,8739726027397;9,33333333333333;0,666666666666666;"Sub";1998;5,83789656866667;0;"F";4699
"55";436;1196;FALSE;483;"1999-08-05";"1999-08-05";"1999-08-20";"1999-08-20";"1999-08-24";396;1;1;60;"16:20:00";4596;"BrM";NA;1999;18;0,3;1992;"1992-12-10";7;7;2448;28;73;"1999-07-02";"1999-09-26";1999;5;0;"CN";1999;51;113082,5654;113082,5654;2,4338205342971;2803;7,67945205479452;7;0;"Dom";1999;5,15521640586667;1;"FI";2803
"56";441;1195;FALSE;424;"1999-07-17";"1999-07-22";"1999-08-05";"1999-08-05";"1999-08-19";374;1;1;60;"08:55:00";4499;"BrF";NA;1999;15;0,25;1992;"1992-08-07";7;7;2568;28;38;"1999-07-02";"1999-09-26";1999;5;1;"CN";1999;28;87064,96327;87064,96327;1,75013029242161;5288;14,4876712328767;6,33333333333333;0,666666666666667;"Dom";1999;5,15521640586667;0;"F";5288
"57";441;388;FALSE;3049;"1998-08-03";"1998-08-06";"1998-08-19";"1998-08-21";"1998-09-03";212;1;1;60;"16:10:00";3581;"BrF";NA;1998;12;0,2;1992;"1992-08-07";6;6;2218;25;38;"1998-06-20";"1998-09-27";1998;4;0;"CN";1998;28;92782,48619;92782,48619;1,06644005054613;5288;14,4876712328767;6,33333333333333;-0,333333333333333;"Dom";1998;3,40909704426667;0;"F";5288
"58";441;387;FALSE;3049;"1998-08-03";"1998-08-06";"1998-08-19";"1998-08-21";"1998-08-22";212;1;1;60;"16:50:00";3581;"BrF";NA;1998;6;0,1;1992;"1992-08-07";6;6;2206;25;38;"1998-06-20";"1998-09-27";1998;4;0;"CN";1998;28;92782,48619;92782,48619;-0,300940433204852;5288;14,4876712328767;6,33333333333333;-0,333333333333333;"Dom";1998;3,40909704426667;0;"FI";5288
"59";442;600;FALSE;2169;"1996-06-24";"1996-06-28";"1996-07-10";"1996-07-10";"1996-07-24";2221;1;1;60;"14:40:00";6068;"H";NA;1996;5;0,0833333333333333;1992;"1992-08-08";4;4;1446;21;41;"1996-06-24";"1996-08-11";1996;8;1;"CN";1996;30;32144,08743;32144,08743;-0,528837180496682;4176;11,441095890411;6;-2;"Sub";1996;5,50450219233333;0;"F";3707
"60";442;353;FALSE;41;"1997-07-26";"1997-07-26";"1997-08-08";"1997-08-08";"1997-08-07";37;2;1;90;"14:05:00";2837;"H";NA;1997;15;0,166666666666667;1992;"1992-08-08";5;5;1825;22;42;"1997-07-01";"1997-08-28";1997;9;1;"CN";1997;30,1;99126,94;99126,94;0,61064655596247;4176;11,441095890411;6;-1;"Sub";1997;6,34906043033333;0;"FI";3707
"61";442;1262;FALSE;2169;"1996-06-24";"1996-06-28";"1996-07-10";"1996-07-10";"1996-07-12";2221;1;1;60;"14:08:00";6068;"H";NA;1996;10;0,166666666666667;1992;"1992-08-08";4;4;1434;21;41;"1996-06-24";"1996-08-11";1996;8;1;"CN";1996;30;32144,08743;32144,08743;0,61064655596247;4176;11,441095890411;6;-2;"Sub";1996;5,50450219233333;0;"F";3707
"62";442;762;FALSE;743;"2003-08-05";"2003-08-07";"2003-08-21";"2003-08-21";"2003-08-26";473;2;1;90;"15:30:00";7124;"H";NA;2003;11;0,122222222222222;1992;"1992-08-08";11;11;4035;30;42;"2003-06-06";"2003-09-02";2003;5;2;"CN";2003;30,1;47112,15993;47112,15993;0,00292189651758422;4176;11,441095890411;6;5;"Sub";2003;3,65308711307692;0;"F";3707
"63";442;433;FALSE;216;"1998-07-24";"1998-07-27";"1998-08-11";"1998-08-14";"1998-08-31";214;1;1;60;"15:27:00";3592;"H";NA;1998;9;0,15;1992;"1992-08-08";6;6;2214;25;42;"1998-06-20";"1998-09-27";1998;5;2;"CN";1998;30,1;41120,85803;41120,85803;0,382749808670636;4176;11,441095890411;6;0;"Sub";1998;3,40909704426667;0;"F";3707
"64";443;647;FALSE;1593;"1995-07-03";"1995-07-10";"1995-07-21";"1995-07-26";"1995-07-29";2084;1;1;75;"09:43:00";5632;"BrF";NA;1995;2;0,0266666666666667;1992;"1992-08-08";3;3;1085;19;12;"1995-05-22";"1995-09-14";1995;6;0;NA;NA;NA;NA;NA;-1,3036861212889;1132;3,1013698630137;3;0;"Dom";1995;NA;0;"FI";1132
