"","BirdID","birthyear","FieldPeriodID","OccasionID","OccasionDate","Island","CatchID","TerritoryID","Resident","CatchTime","BodyMass","RightTarsus","LeftTarsus","WingLength","HeadBill","BillLength","BillHeight","CloacaWidth","CloacaHeight","FeatherMites","FatScore","occasionyear","birthday","age_date","age_year","Observer","ExactDate","Status","lifespan","TerritoryNumber","TQ","TQcorrected","SexEstimate","catch_time","CatchTime_mins","avg_invert","newstat","newlifespan","BodyMass_z","WingLength_z","RightTarsus_z"
"11",25,1983,19,461,"1995-06-17","CN",2453,52,NA,NA,16.3999996185303,NA,26.6000003814697,70,NA,NA,NA,NA,NA,NA,NA,1995,"1983-09-28",4280,12,"JK",1,"BrM",4701,NA,NA,NA,1,NA,NA,NA,"Dom",4701,0.656014865938218,1.2480861082007,NA
"12",26,1982,3,43,"1983-10-21","CN",2452,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1983,"1982-10-22",364,1,NA,1,"U",402,NA,NA,NA,NA,NA,NA,NA,"Sub",402,NA,NA,NA
"13",27,1982,3,44,"1983-10-23","CN",2451,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1983,"1982-10-24",364,1,NA,1,"BrF",1130,NA,NA,NA,0,NA,NA,NA,"Dom",1130,NA,NA,NA
"14",29,1983,21,559,"1996-06-28","CN",2448,24,NA,NA,16.7000007629395,NA,26.8999996185303,70,NA,NA,NA,NA,NA,NA,NA,1996,"1983-09-23",4662,13,"PE",1,"BrM",5088,18,39554.19963,39554.19963,1,NA,NA,5.50450219233333,"Dom",5088,0.905855203071042,1.2480861082007,NA
"15",29,1983,5,69,"1985-04-11","CN",2446,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1985,"1983-09-23",566,2,NA,1,"BrM",5088,NA,NA,NA,1,NA,NA,NA,"Dom",5088,NA,NA,NA
"16",29,1983,17,333,"1994-07-07","CN",2445,20,NA,NA,16.2000007629395,NA,26.2999992370605,70,NA,NA,NA,NA,NA,NA,NA,1994,"1983-09-23",3940,11,"LG",1,"BrM",5088,NA,NA,NA,1,NA,NA,NA,"Dom",5088,0.489456229619056,1.2480861082007,NA
"17",29,1983,19,433,"1995-06-03","CN",2447,24,NA,NA,15.8000001907349,NA,25.7999992370605,67.5,NA,NA,NA,NA,NA,NA,NA,1995,"1983-09-23",4271,12,"AD",1,"BrM",5088,NA,NA,NA,1,NA,NA,NA,"Dom",5088,0.156336574326652,0.0723801321522874,NA
"18",31,1983,17,359,"1994-07-24","CN",2443,121,NA,NA,18,NA,25.2000007629395,69,NA,NA,NA,NA,NA,NA,NA,1994,"1983-05-21",4082,11,"LG",1,"BrF",4499,NA,NA,NA,0,NA,NA,NA,"Dom",4499,1.98849189867176,0.777803717781335,NA
"19",33,1982,3,50,"1983-11-27","CN",2440,171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1983,"1982-08-27",457,1,NA,1,"U",3413,NA,NA,NA,1,NA,NA,NA,"Sub",3413,NA,NA,NA
"20",35,1984,6,75,"1986-05-18","CN",2438,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1986,"1984-05-14",734,2,"JK",1,"SEEN1",935,NA,NA,NA,NA,NA,NA,NA,"Sub",935,NA,NA,NA
"21",36,1983,4,61,"1984-08-21","CN",2436,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1984,"1983-08-23",364,1,NA,1,"U",2577,NA,NA,NA,1,NA,NA,NA,"Sub",2577,NA,NA,NA
"22",37,1983,4,61,"1984-08-21","CN",2435,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1984,"1983-08-23",364,1,NA,1,"U",3052,NA,NA,NA,0,NA,NA,NA,"Sub",3052,NA,NA,NA
"23",38,1984,8,183,"1989-03-18","CN",2433,112,NA,NA,15.5,NA,NA,72,NA,NA,NA,NA,NA,NA,NA,1989,"1984-06-12",1740,5,"JK",1,"BrM",1993,NA,NA,NA,1,NA,NA,NA,"Dom",1993,-0.0935029685881728,2.18865088903943,NA
"24",39,1984,5,70,"1985-05-14","CN",2431,109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1985,"1984-07-22",296,1,NA,1,"BrM",1953,NA,NA,NA,1,NA,NA,NA,"Dom",1953,NA,NA,NA
"25",40,1984,17,332,"1994-07-07","CN",2430,109,NA,NA,16.7999992370605,NA,25,65,NA,NA,NA,NA,NA,NA,NA,1994,"1984-02-03",3807,10,"JK",1,"BrF",4573,NA,NA,NA,0,NA,NA,NA,"Dom",4573,0.989133727012542,-1.10332584389613,NA
"26",42,1984,17,334,"1994-07-08","CN",2427,38,NA,NA,16.5,NA,26.6000003814697,69,NA,NA,NA,NA,NA,NA,NA,1994,"1984-12-24",3483,10,"LG",1,"BrM",4630,NA,NA,NA,1,NA,NA,NA,"Dom",4630,0.739294978315799,0.777803717781335,NA
"27",42,1984,19,433,"1995-06-03","CN",2426,38,NA,NA,16.5,NA,26.3999996185303,68,NA,NA,NA,NA,NA,NA,NA,1995,"1984-12-24",3813,11,"AD",1,"BrM",4630,NA,NA,NA,1,NA,NA,NA,"Dom",4630,0.739294978315799,0.30752132736197,NA
"28",42,1984,17,332,"1994-07-07","CN",2425,38,NA,NA,17.1000003814697,NA,26.5,68,NA,NA,NA,NA,NA,NA,NA,1994,"1984-12-24",3482,10,"JK",1,"BrM",4630,NA,NA,NA,1,NA,NA,NA,"Dom",4630,1.23897406414537,0.30752132736197,NA
"29",44,1986,25,815,"1998-07-03","CN",2422,5,NA," 16:45:00",16.3999996185303,26.5,26.7000007629395,72,36.9000015258789,NA,NA,NA,NA,NA,NA,1998,"1986-08-04",4351,12,"KB",1,"BrM",4561,3.1,55257.05741,55257.05741,1,"16:45:00",1005,3.40909704426667,"Dom",4437,0.656014865938218,2.18865088903943,1.21225869715698
"30",44,1986,16,319,"1993-08-06","CN",2419,4,NA,NA,17.2999992370605,NA,NA,72,NA,NA,NA,NA,NA,NA,NA,1993,"1986-08-04",2559,7,"JK",1,"BrM",4561,NA,NA,NA,1,NA,NA,NA,"Dom",4437,1.40553270046453,2.18865088903943,NA
"31",51,1987,30,1135,"2003-06-17","CN",2936,51,NA," 16:13:00",15.8999996185303,26,NA,65,36.7000007629395,NA,NA,3.5,4.40000009536743,NA,NA,2003,"1987-03-08",5945,16,"CE",1,"BrM",6022,35,15620.29485,15620.29485,1,"16:13:00",973,3.65308711307692,"Dom",5687,0.239615892486233,-1.10332584389613,0.743650836562341
"32",51,1987,16,323,"1993-08-10","CN",2411,63,NA,NA,15.8999996185303,NA,NA,67,NA,NA,NA,NA,NA,NA,NA,1993,"1987-03-08",2347,6,"JK",1,"BrM",6022,NA,NA,NA,1,NA,NA,NA,"Dom",5687,0.239615892486233,-0.162761063057395,NA
"33",51,1987,22,712,"1997-07-23","CN",2408,51,NA," 12:00:00",15.6000003814697,25.8999996185303,25.6000003814697,67,NA,15.1000003814697,3.29999995231628,NA,NA,NA,NA,1997,"1987-03-08",3790,10,"KO",1,"BrM",6022,35,126008.9824,126008.9824,1,"12:00:00",720,6.34906043033333,"Dom",5687,-0.0102228562105927,-0.162761063057395,0.649928906924011
"34",51,1987,19,467,"1995-06-20","CN",2412,49,NA,NA,15.6000003814697,NA,25.2999992370605,65,NA,NA,NA,NA,NA,NA,NA,1995,"1987-03-08",3026,8,"AD",1,"BrM",6022,NA,NA,NA,1,NA,NA,NA,"Dom",5687,-0.0102228562105927,-1.10332584389613,NA
"35",51,1987,12,243,"1990-05-02","CN",2409,67,NA,NA,16.3999996185303,NA,28.8999996185303,65.8000030517578,NA,15.6000003814697,NA,NA,NA,NA,NA,1990,"1987-03-08",1151,3,"JK",1,"AB",6022,47,26342.13471,13171.06736,1,NA,NA,2.6524428182,"Sub",5687,0.656014865938218,-0.727098496372681,NA
"36",61,1987,8,162,"1988-09-26","CN",2397,37,NA,NA,14,NA,NA,68,NA,NA,NA,NA,NA,NA,NA,1988,"1987-04-23",522,1,"JK",1,"ABX",NA,NA,NA,NA,0,NA,NA,NA,"Sub",701,-1.34269988894413,0.30752132736197,NA
"37",64,1987,17,345,"1994-07-16","CN",2391,103,NA,NA,13.5,NA,24.7999992370605,71,NA,NA,NA,NA,NA,NA,NA,1994,"1987-08-16",2526,7,"LG",1,"BrF",3877,NA,NA,NA,0,NA,NA,NA,"Dom",3877,-1.75909886239612,1.71836849862007,NA
"38",64,1987,23,784,"1998-02-11","CN",2390,103,NA," 11:20:00",14.1000003814697,24.5,24.3999996185303,66,NA,15.5,3.40000009536743,NA,NA,NA,NA,1998,"1987-08-16",3832,11,"KB",1,"BrF",3877,71,13134.04794,13134.04794,0,"11:20:00",680,5.83789656866667,"Dom",3877,-1.25941977656655,-0.63304345347676,-0.662172745221582
"39",64,1987,12,236,"1990-03-09","CN",2392,103,NA,NA,NA,NA,26.2999992370605,65,NA,NA,NA,NA,NA,NA,NA,1990,"1987-08-16",936,3,NA,1,"BrF",3877,71,29485.15192,14742.57596,0,NA,NA,2.6524428182,"Dom",3877,NA,-1.10332584389613,NA
"40",65,1987,22,717,"1997-07-25","CN",2386,56,NA," 17:00:00",18.6000003814697,25.8999996185303,25.8999996185303,70,NA,16.2000007629395,3.20000004768372,NA,NA,NA,NA,1997,"1987-08-16",3631,10,"KO",1,"BrM",3877,40,62180.98729,62180.98729,1,"17:00:00",1020,6.34906043033333,"Dom",3877,2.48817098450133,1.2480861082007,0.649928906924011
"41",65,1987,16,321,"1993-08-08","CN",2389,57,NA,NA,17,NA,NA,69,NA,NA,NA,NA,NA,NA,NA,1993,"1987-08-16",2184,6,"JK",1,"BrM",3877,NA,NA,NA,1,NA,NA,NA,"Dom",3877,1.15569395176779,0.777803717781335,NA
"42",68,1987,8,158,"1988-09-22","CN",2383,76,NA,NA,15.1999998092651,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,1988,"1987-08-28",391,1,"JK",1,"ABX",NA,NA,NA,NA,1,NA,NA,NA,"Sub",574,-0.343342511502998,1.2480861082007,NA
"43",69,1987,12,249,"1990-06-27","CN",2379,40,NA,NA,16.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1990,"1987-08-30",1032,3,"JK",1,"BrM",NA,29,38401.16141,19200.5807,1,NA,NA,2.6524428182,"Dom",1109,0.739294978315799,NA,NA
"44",69,1987,8,178,"1989-03-06","CN",2378,40,NA,NA,16.2999992370605,NA,27,72,NA,NA,NA,NA,NA,NA,NA,1989,"1987-08-30",554,2,"JK",1,"BrM",NA,NA,NA,NA,1,NA,NA,NA,"Dom",1109,0.572734753560556,2.18865088903943,NA
"45",74,1987,8,163,"1988-09-27","CN",2371,160,NA,NA,13.3000001907349,NA,NA,65,NA,NA,NA,NA,NA,NA,NA,1988,"1987-09-13",380,1,"JK",1,"ABX",NA,NA,NA,NA,0,NA,NA,NA,"Sub",558,-1.92565829293328,-1.10332584389613,NA
"46",75,1987,19,418,"1995-05-24","CN",2368,108,NA,NA,16.2000007629395,NA,25.7999992370605,69,NA,NA,NA,NA,NA,NA,NA,1995,"1987-09-14",2809,8,"JK",1,"BrM",3254,NA,NA,NA,1,NA,NA,NA,"Dom",3254,0.489456229619056,0.777803717781335,NA
"47",78,1987,16,324,"1993-08-11","CN",2363,61,NA,NA,13.6000003814697,NA,NA,63,NA,NA,NA,NA,NA,NA,NA,1993,"1987-09-20",2152,6,"JK",1,"BrF",4711,NA,NA,NA,0,NA,NA,NA,"Dom",4389,-1.67581875001854,-2.04389062473486,NA
"48",78,1987,17,376,"1994-12-30","CN",2362,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1994,"1987-09-20",2658,7,NA,0,"BrF",4711,NA,NA,NA,0,NA,NA,NA,"Dom",4389,NA,NA,NA
"49",91,1985,6,100,"1986-12-04","CN",2347,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1986,"1985-12-05",364,1,"JK",1,"ABX",365,NA,NA,NA,NA,NA,NA,NA,"Sub",365,NA,NA,NA
"50",92,1984,5,72,"1985-11-11","CN",2346,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1985,"1984-11-12",364,1,NA,1,"U",753,NA,NA,NA,NA,NA,NA,NA,"Sub",753,NA,NA,NA
"51",93,1984,5,73,"1985-11-26","CN",2345,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1985,"1984-07-22",492,1,NA,1,"U",1285,NA,NA,NA,0,NA,NA,NA,"Sub",1285,NA,NA,NA
"52",94,1984,8,158,"1988-09-22","CN",2342,76,NA,NA,14.3999996185303,NA,NA,66,NA,NA,NA,NA,NA,NA,NA,1988,"1984-07-22",1523,4,"JK",1,"ABX",NA,NA,NA,NA,0,NA,NA,NA,"Sub",1706,-1.00958102786973,-0.63304345347676,NA
"53",94,1984,5,73,"1985-11-26","CN",2344,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1985,"1984-07-22",492,1,NA,1,"U",NA,NA,NA,NA,0,NA,NA,NA,"Sub",1706,NA,NA,NA
"54",95,1985,6,76,"1986-05-27","CN",2341,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1986,"1985-05-28",364,1,"JK",1,"ABX",556,NA,NA,NA,NA,NA,NA,NA,"Sub",556,NA,NA,NA
"55",109,1985,6,85,"1986-09-03","CN",2327,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1986,"1985-09-04",364,1,"JK",1,"ABX",457,NA,NA,NA,0,NA,NA,NA,"Sub",457,NA,NA,NA
"56",160,1988,8,181,"1989-03-15","CN",2249,73,NA,NA,15,NA,NA,66,NA,NA,NA,NA,NA,NA,NA,1989,"1988-12-16",89,1,"JK",1,"SEEN1",345,NA,NA,NA,0,NA,NA,NA,"Sub",345,-0.509901942040159,-0.63304345347676,NA
"57",163,1988,22,722,"1997-07-27","CN",2245,59,NA," 10:00:00",14.8000001907349,24.2000007629395,24.2000007629395,70,NA,13.8999996185303,3.40000009536743,NA,NA,NA,NA,1997,"1988-03-24",3412,9,"KO",1,"ABX",3963,42,207956.2214,207956.2214,0,"10:00:00",600,6.34906043033333,"Sub",3839,-0.67646137257732,1.2480861082007,-0.943336746539473
"58",163,1988,8,186,"1989-03-23","CN",2244,59,NA,NA,14.5,NA,NA,69,NA,NA,NA,NA,NA,NA,NA,1989,"1988-03-24",364,1,"JK",1,"SEEN1",3963,NA,NA,NA,0,NA,NA,NA,"Sub",3839,-0.926300915492145,0.777803717781335,NA
"59",163,1988,17,360,"1994-07-26","CN",2246,59,NA,NA,15.8999996185303,NA,23.8999996185303,69,NA,NA,NA,NA,NA,NA,NA,1994,"1988-03-24",2315,6,"JK",1,"BrF",3963,NA,NA,NA,0,NA,NA,NA,"Dom",3839,0.239615892486233,0.777803717781335,NA
"60",165,1989,12,250,"1990-06-28","CN",2240,40,NA,NA,17.5,NA,27.8999996185303,69,NA,NA,NA,NA,NA,NA,NA,1990,"1989-11-14",226,1,"JK",1,"ABX",NA,29,38401.16141,19200.5807,1,NA,NA,2.6524428182,"Sub",302,1.57209292521977,0.777803717781335,NA
"61",167,1989,12,239,"1990-03-18","CN",2238,71,NA,NA,16.6000003814697,NA,29.2999992370605,71,NA,NA,NA,NA,NA,NA,NA,1990,"1989-01-16",426,1,NA,1,"BrU",604,50,204009.1369,102004.5684,0,NA,NA,2.6524428182,"Dom",604,0.822575090693381,1.71836849862007,NA
"62",168,1989,16,324,"1993-08-11","CN",2236,89,NA,NA,16.2999992370605,NA,NA,69,NA,NA,NA,NA,NA,NA,NA,1993,"1989-07-15",1488,4,"JK",1,"BrF",4394,NA,NA,NA,0,NA,NA,NA,"Dom",4394,0.572734753560556,0.777803717781335,NA
"63",168,1989,12,239,"1990-03-18","CN",2237,28,NA,NA,13.5,NA,28,64.8000030517578,NA,NA,NA,NA,NA,NA,NA,1990,"1989-07-15",246,1,NA,1,"AB",4394,22,55522.64395,27761.32198,0,NA,NA,2.6524428182,"Sub",4394,-1.75909886239612,-1.19738088679205,NA
"64",168,1989,17,343,"1994-07-15","CN",2235,89,NA,NA,16.3999996185303,NA,24.7999992370605,66,NA,NA,NA,NA,NA,NA,NA,1994,"1989-07-15",1826,5,"JK",1,"BrF",4394,NA,NA,NA,0,NA,NA,NA,"Dom",4394,0.656014865938218,-0.63304345347676,NA
"65",169,1988,12,239,"1990-03-18","CN",2234,28,NA,NA,14.5,NA,27.3999996185303,65.9000015258789,NA,NA,NA,NA,NA,NA,NA,1990,"1988-09-13",551,2,NA,1,"BrF",4352,22,55522.64395,27761.32198,0,NA,NA,2.6524428182,"Dom",4030,-0.926300915492145,-0.680070974924717,NA
"66",170,1989,12,239,"1990-03-18","CN",2233,71,NA,NA,15,NA,NA,68,NA,NA,NA,NA,NA,NA,NA,1990,"1989-07-15",246,1,NA,1,"ABX",899,50,204009.1369,102004.5684,1,NA,NA,2.6524428182,"Sub",899,-0.509901942040159,0.30752132736197,NA
"67",171,1989,17,335,"1994-07-09","CN",2231,71,NA,NA,14.8000001907349,NA,25.5,66,NA,NA,NA,NA,NA,NA,NA,1994,"1989-01-16",2000,5,"LG",1,"BrF",3358,NA,NA,NA,0,NA,NA,NA,"Dom",3358,-0.67646137257732,-0.63304345347676,NA
"68",171,1989,12,239,"1990-03-18","CN",2232,71,NA,NA,14.6000003814697,NA,27.1000003814697,63,NA,NA,NA,NA,NA,NA,NA,1990,"1989-01-16",426,1,NA,1,"AB",3358,50,204009.1369,102004.5684,0,NA,NA,2.6524428182,"Sub",3358,-0.843020803114565,-2.04389062473486,NA
"69",172,1989,19,435,"1995-06-03","CN",2230,22,NA,NA,14.8999996185303,NA,25.2999992370605,66,NA,NA,NA,NA,NA,NA,NA,1995,"1989-07-15",2149,6,"PE",1,"BrF",2966,NA,NA,NA,0,NA,NA,NA,"Dom",2966,-0.593182054417739,-0.63304345347676,NA
"70",172,1989,22,670,"1997-07-04","CN",2228,24,NA," 16:40:00",15.3999996185303,25,25.1000003814697,67,NA,14.1000003814697,3.09999990463257,NA,NA,NA,NA,1997,"1989-07-15",2911,8,"DR",1,"BrF",2966,18,73132.7197,73132.7197,0,"16:40:00",1000,6.34906043033333,"Dom",2966,-0.176783080965753,-0.162761063057395,-0.193564884626941
"71",172,1989,12,239,"1990-03-18","CN",2229,37,NA,NA,13.8000001907349,NA,27.1000003814697,65,NA,NA,NA,NA,NA,NA,NA,1990,"1989-07-15",246,1,NA,1,"AB",2966,27,76731.11627,38365.55814,0,NA,NA,2.6524428182,"Sub",2966,-1.50925931948129,-1.10332584389613,NA
"72",172,1989,22,746,"1997-08-13","CN",2227,22,NA," 14:30:00",15.1999998092651,25,24.8999996185303,66,NA,15.3999996185303,3.09999990463257,NA,NA,NA,NA,1997,"1989-07-15",2951,8,"KO",1,"BrF",2966,16,146611.0231,146611.0231,0,"14:30:00",870,6.34906043033333,"Dom",2966,-0.343342511502998,-0.63304345347676,-0.193564884626941
"73",174,1988,12,221,"1990-01-24","CN",2225,16,NA,NA,NA,NA,26.7000007629395,67.5999984741211,NA,NA,NA,NA,NA,NA,NA,1990,"1988-09-13",498,2,"JK",1,"BrF",1204,11,55163.91442,27581.95721,0,NA,NA,2.6524428182,"Dom",1204,NA,0.119407653600244,NA
"74",176,1988,19,422,"1995-05-26","CN",2220,63,NA,NA,15.5,NA,25.7999992370605,69,NA,NA,NA,NA,NA,NA,NA,1995,"1988-09-13",2446,7,"PE",1,"BrM",5467,NA,NA,NA,1,NA,NA,NA,"Dom",5132,-0.0935029685881728,0.777803717781335,NA
"75",176,1988,19,513,"1995-08-05","CN",2221,63,NA,NA,17.1000003814697,NA,NA,69.5,NA,NA,NA,NA,NA,NA,NA,1995,"1988-09-13",2517,7,"AD",1,"BrM",5467,NA,NA,NA,1,NA,NA,NA,"Dom",5132,1.23897406414537,1.01294491299102,NA
"76",176,1988,12,219,"1990-01-23","CN",2222,51,NA,NA,16.6000003814697,NA,28.7000007629395,69.0999984741211,NA,NA,NA,NA,NA,NA,NA,1990,"1988-09-13",497,2,NA,1,"BrM",5467,35,66768.36482,33384.18241,1,NA,NA,2.6524428182,"Dom",5132,0.822575090693381,0.824831239229292,NA
"77",176,1988,41,1059,"2002-07-25","CN",2678,63,NA," 11:30:00",17.5,26,NA,70,37.9000015258789,NA,NA,4.40000009536743,3.5,NA,NA,2002,"1988-09-13",5063,14,"JC",1,"BrM",5467,NA,NA,NA,1,"11:30:00",690,NA,"Dom",5132,1.57209292521977,1.2480861082007,0.743650836562341
"78",176,1988,19,467,"1995-06-20","CN",2223,63,NA,NA,16.5,NA,26.1000003814697,69,NA,NA,NA,NA,NA,NA,NA,1995,"1988-09-13",2471,7,"AD",1,"BrM",5467,NA,NA,NA,1,NA,NA,NA,"Dom",5132,0.739294978315799,0.777803717781335,NA
"79",178,1988,22,706,"1997-07-22","CN",2216,103,NA," 15:00:00",15.6000003814697,26.2000007629395,25.8999996185303,71,NA,15.1000003814697,3.20000004768372,NA,NA,NA,NA,1997,"1988-09-13",3234,9,"DR",1,"BrM",3483,71,21837.55852,21837.55852,1,"15:00:00",900,6.34906043033333,"Dom",3483,-0.0102228562105927,1.71836849862007,0.93109469583909
"80",178,1988,23,796,"1998-03-09","CN",2215,104,NA," 11:00:00",14.6000003814697,26,25.8999996185303,71,37.5999984741211,15.3999996185303,3.40000009536743,NA,NA,NA,NA,1998,"1988-09-13",3464,10,"DR",1,"BrM",3483,72,14717.89129,14717.89129,1,"11:00:00",660,5.83789656866667,"Dom",3483,-0.843020803114565,1.71836849862007,0.743650836562341
"81",178,1988,17,345,"1994-07-16","CN",2217,103,NA,NA,16.5,NA,25.8999996185303,70,NA,NA,NA,NA,NA,NA,NA,1994,"1988-09-13",2132,6,"LG",1,"BrM",3483,NA,NA,NA,1,NA,NA,NA,"Dom",3483,0.739294978315799,1.2480861082007,NA
"82",178,1988,12,216,"1990-01-21","CN",2218,103,NA,NA,16.3999996185303,NA,28,71,NA,14.3999996185303,NA,NA,NA,NA,NA,1990,"1988-09-13",495,2,"JK",1,"BrM",3483,71,29485.15192,14742.57596,1,NA,NA,2.6524428182,"Dom",3483,0.656014865938218,1.71836849862007,NA
"83",184,1988,10,213,"1989-11-25","CN",2208,54,NA,NA,16,NA,25,68,NA,NA,NA,NA,NA,NA,NA,1989,"1988-11-26",364,1,"JK",1,"BrM",365,NA,NA,NA,1,NA,NA,NA,"Dom",365,0.322896004863813,0.30752132736197,NA
"84",185,1988,10,210,"1989-11-22","CN",2207,24,NA,NA,15,NA,28,66,NA,NA,NA,NA,NA,NA,NA,1989,"1988-11-23",364,1,"JK",1,"BrF",1133,NA,NA,NA,0,NA,NA,NA,"Dom",1133,-0.509901942040159,-0.63304345347676,NA
"85",189,1988,10,210,"1989-11-22","CN",2203,38,NA,NA,15.5,NA,25,66,NA,NA,NA,NA,NA,NA,NA,1989,"1988-11-23",364,1,"JK",1,"BrF",1133,NA,NA,NA,0,NA,NA,NA,"Dom",1133,-0.0935029685881728,-0.63304345347676,NA
"86",191,1989,12,252,"1990-06-30","CN",2200,7,NA,NA,16.3999996185303,NA,29.7000007629395,68,NA,NA,NA,NA,NA,NA,NA,1990,"1989-09-04",299,1,"JK",1,"ABX",NA,4,16795.56069,8397.780347,0,NA,NA,2.6524428182,"Sub",373,0.656014865938218,0.30752132736197,NA
"87",192,1989,12,218,"1990-01-22","CN",2197,52,NA,NA,14.6999998092651,NA,26.1000003814697,76,NA,14.6000003814697,NA,NA,NA,NA,NA,1990,"1989-09-03",141,1,"JK",1,"ABX",849,36,34968.59498,17484.29749,NA,NA,NA,2.6524428182,"Sub",849,-0.759741484954984,4.06978045071689,NA
"88",193,1989,12,251,"1990-06-29","CN",2192,56,NA,NA,13.5,NA,28.5,66,NA,NA,NA,NA,NA,NA,NA,1990,"1989-09-03",299,1,"JK",1,"ABX",NA,40,31963.76236,15981.88118,NA,NA,NA,2.6524428182,"Sub",374,-1.75909886239612,-0.63304345347676,NA
