"","BirdID","Status","FieldPeriodID","BirthDate","Island","PeriodYear","birthyear","PeriodYearEnd","age","age_date","survival","SexEstimate","newstat","agefirstrepro","lifespan","occasionyear","PeriodStart","PeriodEnd","season","seasonlength","no_st","fp_na","avg_bug","statbefore","yearlytq","yearlytq_corr","Year"
"11",176,"BrM",28,"1988-09-13","CN",1999,1988,1999,11,4030,1,1,"Dom",1,5467,1999,1999-07-02,1999-09-26,"main",86,3,FALSE,3.33536095095,"Dom",62016.137075,62016.137075,1999
"12",176,"BrM",25,"1988-09-13","CN",1998,1988,1998,10,3666,1,1,"Dom",1,5467,1998,1998-06-20,1998-09-27,"main",99,2,FALSE,4.62349680646667,"Dom",93432.91295,93432.91295,1998
"13",199,"BrF",25,"1986-12-02","CN",1998,1986,1998,12,4317,1,NA,"Dom",3,6252,1998,1998-06-20,1998-09-27,"main",99,2,FALSE,4.62349680646667,"Dom",43864.327865,43864.327865,1998
"14",199,"BrF",28,"1986-12-02","CN",1999,1986,1999,13,4681,1,NA,"Dom",3,6252,1999,1999-07-02,1999-09-26,"main",86,3,FALSE,3.33536095095,"Dom",25868.7934995,25868.7934995,1999
"15",199,"BrF",30,"1986-12-02","CN",2003,1986,2003,17,6118,1,NA,"Dom",3,6252,2003,2003-06-06,2003-09-02,"main",88,2,FALSE,3.65308711307692,"Dom",47112.15993,47112.15993,2003
"16",215,"BrM",25,"1988-07-27","CN",1998,1988,1998,10,3714,1,1,"Dom",1,4400,1998,1998-06-20,1998-09-27,"main",99,2,FALSE,4.62349680646667,"Dom",100477.19325,100477.19325,1998
"17",215,"BrM",28,"1988-07-27","CN",1999,1988,1999,11,4078,1,1,"Dom",1,4400,1999,1999-07-02,1999-09-26,"main",86,3,FALSE,3.33536095095,"Dom",36412.900615,36412.900615,1999
"18",216,"BrM",25,"1988-07-27","CN",1998,1988,1998,10,3714,1,1,"Dom",1,5180,1998,1998-06-20,1998-09-27,"main",99,2,FALSE,4.62349680646667,"Dom",35129.769265,35129.769265,1998
"19",216,"BrM",28,"1988-07-27","CN",1999,1988,1999,11,4078,1,1,"Dom",1,5180,1999,1999-07-02,1999-09-26,"main",86,3,FALSE,3.33536095095,"Dom",23607.69674,23607.69674,1999
"20",220,"BrM",28,"1988-08-12","CN",1999,1988,1999,11,4062,1,1,"Dom",2,5164,1999,1999-07-02,1999-09-26,"main",86,3,FALSE,3.33536095095,"Dom",56235.572485,56235.572485,1999
"21",220,"BrM",25,"1988-08-12","CN",1998,1988,1998,10,3698,1,1,"Dom",2,5164,1998,1998-06-20,1998-09-27,"main",99,2,FALSE,4.62349680646667,"Dom",132958.53962,132958.53962,1998
"22",221,"BrM",25,"1988-06-25","CN",1998,1988,1998,10,3746,1,1,"Dom",2,6378,1998,1998-06-20,1998-09-27,"main",99,2,FALSE,4.62349680646667,"Dom",61753.93495,61753.93495,1998
"23",221,"BrM",28,"1988-06-25","CN",1999,1988,1999,11,4110,1,1,"Dom",2,6378,1999,1999-07-02,1999-09-26,"main",86,3,FALSE,3.33536095095,"Dom",28482.2281,28482.2281,1999
"24",221,"BrM",30,"1988-06-25","CN",2003,1988,2003,15,5547,1,1,"Dom",2,6378,2003,2003-06-06,2003-09-02,"main",88,2,FALSE,3.65308711307692,"Dom",19130.30157,19130.30157,2003
"25",221,"BrM",37,"1988-06-25","CN",2005,1988,2005,17,6287,1,1,"Dom",2,6378,2005,2005-05-26,2005-09-11,"main",108,3,FALSE,4.85163903403571,"Dom",NA,NA,NA
"26",221,"BrM",34,"1988-06-25","CN",2004,1988,2004,16,5913,1,1,"Dom",2,6378,2004,2004-05-30,2004-09-02,"main",95,2,FALSE,3.1884100425,"Dom",4141.376338,4141.376338,2004
"27",297,"BrF",25,"1989-01-16","CN",1998,1989,1998,9,3541,1,0,"Dom",5,4574,1998,1998-06-20,1998-09-27,"main",99,2,FALSE,4.62349680646667,"Sub",101327.64838,101327.64838,1998
"28",297,"BrF",28,"1989-01-16","CN",1999,1989,1999,10,3905,1,0,"Dom",5,4574,1999,1999-07-02,1999-09-26,"main",86,3,FALSE,3.33536095095,"Dom",42651.19378,42651.19378,1999
"29",308,"BrF",28,"1990-08-10","CN",1999,1990,1999,9,3334,1,0,"Dom",1,4436,1999,1999-07-02,1999-09-26,"main",86,3,FALSE,3.33536095095,"Dom",23607.69674,23607.69674,1999
"30",308,"BrF",25,"1990-08-10","CN",1998,1990,1998,8,2970,1,0,"Dom",1,4436,1998,1998-06-20,1998-09-27,"main",99,2,FALSE,4.62349680646667,"Dom",35129.769265,35129.769265,1998
"31",329,"H",25,"1988-09-13","CN",1998,1988,1998,10,3666,1,0,"Sub",1,4699,1998,1998-06-20,1998-09-27,"main",99,2,FALSE,4.62349680646667,"Dom",101327.64838,101327.64838,1998
"32",329,"H",28,"1988-09-13","CN",1999,1988,1999,11,4030,1,0,"Sub",1,4699,1999,1999-07-02,1999-09-26,"main",86,3,FALSE,3.33536095095,"Sub",42651.19378,42651.19378,1999
"33",335,"CH",30,"2003-08-27","CN",2003,2003,2003,0,6,1,1,NA,NA,504,2003,2003-06-06,2003-09-02,"main",88,2,FALSE,3.65308711307692,NA,3904.914362,3904.914362,2003
"34",335,"FLOAT",34,"2003-08-27","CN",2004,2003,2004,1,372,1,1,"Sub",NA,504,2004,2004-05-30,2004-09-02,"main",95,2,FALSE,3.1884100425,"Sub",NA,NA,NA
"35",436,"BrM",25,"1992-12-10","CN",1998,1992,1998,6,2117,1,1,"Dom",3,2803,1998,1998-06-20,1998-09-27,"main",99,2,FALSE,4.62349680646667,"Dom",46799.25514,46799.25514,1998
"36",436,"BrM",28,"1992-12-10","CN",1999,1992,1999,7,2481,1,1,"Dom",3,2803,1999,1999-07-02,1999-09-26,"main",86,3,FALSE,3.33536095095,"Dom",57245.351404,57245.351404,1999
"37",441,"BrF",25,"1992-08-07","CN",1998,1992,1998,6,2242,1,0,"Dom",2,5288,1998,1998-06-20,1998-09-27,"main",99,2,FALSE,4.62349680646667,"Dom",83266.299215,83266.299215,1998
"38",441,"BrF",28,"1992-08-07","CN",1999,1992,1999,7,2606,1,0,"Dom",2,5288,1999,1999-07-02,1999-09-26,"main",86,3,FALSE,3.33536095095,"Dom",52789.26366,52789.26366,1999
"39",441,"BrF",30,"1992-08-07","CN",2003,1992,2003,11,4043,1,0,"Dom",2,5288,2003,2003-06-06,2003-09-02,"main",88,2,FALSE,3.65308711307692,"Dom",7085.065772,7085.065772,2003
"40",441,"BrF",34,"1992-08-07","CN",2004,1992,2004,12,4409,1,0,"Dom",2,5288,2004,2004-05-30,2004-09-02,"main",95,2,FALSE,3.1884100425,"Dom",17355.05498,17355.05498,2004
"41",441,"BrF",37,"1992-08-07","CN",2005,1992,2005,13,4783,1,0,"Dom",2,5288,2005,2005-05-26,2005-09-11,"main",108,3,FALSE,4.85163903403571,"Dom",NA,NA,NA
"42",442,"H",25,"1992-08-08","CN",1998,1992,1998,6,2241,1,0,"Sub",NA,4176,1998,1998-06-20,1998-09-27,"main",99,2,FALSE,4.62349680646667,"Sub",43864.327865,43864.327865,1998
"43",442,"ABX",28,"1992-08-08","CN",1999,1992,1999,7,2605,1,0,"Sub",NA,4176,1999,1999-07-02,1999-09-26,"main",86,3,FALSE,3.33536095095,"Sub",25868.7934995,25868.7934995,1999
"44",442,"H",30,"1992-08-08","CN",2003,1992,2003,11,4042,1,0,"Sub",NA,4176,2003,2003-06-06,2003-09-02,"main",88,2,FALSE,3.65308711307692,"Sub",47112.15993,47112.15993,2003
"45",444,"BrF",25,"1992-12-11","CN",1998,1992,1998,6,2116,1,0,"Dom",2,3582,1998,1998-06-20,1998-09-27,"main",99,2,FALSE,4.62349680646667,"Dom",52808.3743,52808.3743,1998
"46",444,"BrF",28,"1992-12-11","CN",1999,1992,1999,7,2480,1,0,"Dom",2,3582,1999,1999-07-02,1999-09-26,"main",86,3,FALSE,3.33536095095,"Dom",26090.481465,26090.481465,1999
"47",447,"BrF",25,"1992-08-08","CN",1998,1992,1998,6,2241,1,0,"Dom",1,2927,1998,1998-06-20,1998-09-27,"main",99,2,FALSE,4.62349680646667,"Dom",31856.90463,31856.90463,1998
"48",447,"BrF",28,"1992-08-08","CN",1999,1992,1999,7,2605,1,0,"Dom",1,2927,1999,1999-07-02,1999-09-26,"main",86,3,FALSE,3.33536095095,"Dom",23403.0153725,23403.0153725,1999
"49",449,"BrF",28,"1992-08-09","CN",1999,1992,1999,7,2604,1,0,"Dom",3,2926,1999,1999-07-02,1999-09-26,"main",86,3,FALSE,3.33536095095,"Dom",15359.304435,15359.304435,1999
"50",449,"BrF",25,"1992-08-09","CN",1998,1992,1998,6,2240,1,0,"Dom",3,2926,1998,1998-06-20,1998-09-27,"main",99,2,FALSE,4.62349680646667,"Dom",31411.35115,31411.35115,1998
"51",450,"BrF",25,"1992-08-09","CN",1998,1992,1998,6,2240,1,0,"Dom",5,2926,1998,1998-06-20,1998-09-27,"main",99,2,FALSE,4.62349680646667,"Dom",44459.770875,44459.770875,1998
"52",450,"BrF",28,"1992-08-09","CN",1999,1992,1999,7,2604,1,0,"Dom",5,2926,1999,1999-07-02,1999-09-26,"main",86,3,FALSE,3.33536095095,"Dom",17360.49775,17360.49775,1999
"53",453,"BrM",25,"1992-08-10","CN",1998,1992,1998,6,2239,1,1,"Dom",4,6430,1998,1998-06-20,1998-09-27,"main",99,2,FALSE,4.62349680646667,"Dom",69739.06957,69739.06957,1998
"54",453,"BrM",37,"1992-08-10","CN",2005,1992,2005,13,4780,1,1,"Dom",4,6430,2005,2005-05-26,2005-09-11,"main",108,3,FALSE,4.85163903403571,"Dom",NA,NA,NA
"55",453,"BrM",28,"1992-08-10","CN",1999,1992,1999,7,2603,1,1,"Dom",4,6430,1999,1999-07-02,1999-09-26,"main",86,3,FALSE,3.33536095095,"Dom",58119.96612,58119.96612,1999
"56",453,"BrM",30,"1992-08-10","CN",2003,1992,2003,11,4040,1,1,"Dom",4,6430,2003,2003-06-06,2003-09-02,"main",88,2,FALSE,3.65308711307692,"Sub",12018.41757,12018.41757,2003
"57",453,"BrM",34,"1992-08-10","CN",2004,1992,2004,12,4406,1,1,"Dom",4,6430,2004,2004-05-30,2004-09-02,"main",95,2,FALSE,3.1884100425,"Dom",10227.82973,10227.82973,2004
"58",453,"BrM",87,"1992-08-10","CN",2008,1992,2008,16,5872,1,1,"Dom",4,6430,2008,2008-07-10,2008-09-07,"main",59,2,FALSE,2.21180775553571,"Dom",17698.92705,17698.92705,2008
"59",453,"BrM",82,"1992-08-10","CN",2007,1992,2007,15,5515,1,1,"Dom",4,6430,2007,2007-06-14,2007-09-16,"main",94,2,FALSE,2.34702925817857,"Dom",19501.66917,19501.66917,2007
"60",453,"BrM",92,"1992-08-10","CN",2009,1992,2009,17,6248,1,1,"Dom",4,6430,2009,2009-06-08,2009-09-18,"main",102,2,FALSE,3.92001919767857,"Dom",21893.43333,21893.43333,2009
"61",454,"BrF",25,"1992-08-10","CN",1998,1992,1998,6,2239,1,0,"Dom",1,4174,1998,1998-06-20,1998-09-27,"main",99,2,FALSE,4.62349680646667,"Dom",61753.93495,61753.93495,1998
"62",454,"BrF",30,"1992-08-10","CN",2003,1992,2003,11,4040,1,0,"Dom",1,4174,2003,2003-06-06,2003-09-02,"main",88,2,FALSE,3.65308711307692,"Dom",19130.30157,19130.30157,2003
"63",454,"BrF",28,"1992-08-10","CN",1999,1992,1999,7,2603,1,0,"Dom",1,4174,1999,1999-07-02,1999-09-26,"main",86,3,FALSE,3.33536095095,"Dom",28482.2281,28482.2281,1999
"64",457,"BrF",25,"1992-08-10","CN",1998,1992,1998,6,2239,1,0,"Dom",1,2363,1998,1998-06-20,1998-09-27,"main",99,2,FALSE,4.62349680646667,"Dom",83676.924165,83676.924165,1998
"65",458,"BrF",25,"1992-08-11","CN",1998,1992,1998,6,2238,1,0,"Dom",1,4779,1998,1998-06-20,1998-09-27,"main",99,2,FALSE,4.62349680646667,"Dom",112119.81125,112119.81125,1998
"66",458,"BrF",28,"1992-08-11","CN",1999,1992,1999,7,2602,1,0,"Dom",1,4779,1999,1999-07-02,1999-09-26,"main",86,3,FALSE,3.33536095095,"Dom",39358.70216,39358.70216,1999
"67",458,"BrF",30,"1992-08-11","CN",2003,1992,2003,11,4039,1,0,"Dom",1,4779,2003,2003-06-06,2003-09-02,"main",88,2,FALSE,3.65308711307692,"Dom",NA,NA,NA
"68",458,"BrF",34,"1992-08-11","CN",2004,1992,2004,12,4405,1,0,"Dom",1,4779,2004,2004-05-30,2004-09-02,"main",95,2,FALSE,3.1884100425,"Dom",7778.530546,7778.530546,2004
"69",458,"U",37,"1992-08-11","CN",2005,1992,2005,13,4779,1,0,"Sub",1,4779,2005,2005-05-26,2005-09-11,"main",108,2,FALSE,4.85163903403571,"Dom",NA,NA,NA
"70",459,"H",25,"1992-08-11","CN",1998,1992,1998,6,2238,1,0,"Sub",7,5284,1998,1998-06-20,1998-09-27,"main",99,2,FALSE,4.62349680646667,"Sub",85605.30872,85605.30872,1998
"71",459,"BrF",28,"1992-08-11","CN",1999,1992,1999,7,2602,1,0,"Dom",7,5284,1999,1999-07-02,1999-09-26,"main",86,3,FALSE,3.33536095095,"Sub",73221.02693,73221.02693,1999
"72",459,"BrF",30,"1992-08-11","CN",2003,1992,2003,11,4039,1,0,"Dom",7,5284,2003,2003-06-06,2003-09-02,"main",88,2,FALSE,3.65308711307692,"Dom",20755.06242,20755.06242,2003
"73",459,"BrF",34,"1992-08-11","CN",2004,1992,2004,12,4405,1,0,"Dom",7,5284,2004,2004-05-30,2004-09-02,"main",95,2,FALSE,3.1884100425,"Dom",8715.417109,8715.417109,2004
"74",459,"BrF",37,"1992-08-11","CN",2005,1992,2005,13,4779,1,0,"Dom",7,5284,2005,2005-05-26,2005-09-11,"main",108,3,FALSE,4.85163903403571,"Dom",NA,NA,NA
"75",462,"BrF",25,"1992-08-11","CN",1998,1992,1998,6,2238,1,0,"Dom",1,2362,1998,1998-06-20,1998-09-27,"main",99,2,FALSE,4.62349680646667,"Dom",85605.30872,85605.30872,1998
"76",466,"BrF",25,"1993-08-11","CN",1998,1993,1998,5,1873,1,0,"Dom",2,2559,1998,1998-06-20,1998-09-27,"main",99,2,FALSE,4.62349680646667,"Dom",77815.5343,77815.5343,1998
"77",466,"BrF",28,"1993-08-11","CN",1999,1993,1999,6,2237,1,0,"Dom",2,2559,1999,1999-07-02,1999-09-26,"main",86,3,FALSE,3.33536095095,"Dom",83993.44905,83993.44905,1999
"78",467,"BrM",28,"1992-08-11","CN",1999,1992,1999,7,2602,1,1,"Dom",2,2924,1999,1999-07-02,1999-09-26,"main",86,3,FALSE,3.33536095095,"Dom",111102.9922,111102.9922,1999
"79",467,"BrM",25,"1992-08-11","CN",1998,1992,1998,6,2238,1,1,"Dom",2,2924,1998,1998-06-20,1998-09-27,"main",99,2,FALSE,4.62349680646667,"Dom",236347.08508,236347.08508,1998
"80",469,"BrF",25,"1992-08-11","CN",1998,1992,1998,6,2238,1,0,"Dom",3,2924,1998,1998-06-20,1998-09-27,"main",99,2,FALSE,4.62349680646667,"Dom",107505.03035,107505.03035,1998
"81",469,"BrF",28,"1992-08-11","CN",1999,1992,1999,7,2602,1,0,"Dom",3,2924,1999,1999-07-02,1999-09-26,"main",86,3,FALSE,3.33536095095,"Dom",44953.528265,44953.528265,1999
"82",470,"BrM",25,"1992-08-12","CN",1998,1992,1998,6,2237,1,1,"Dom",2,2456,1998,1998-06-20,1998-09-27,"main",99,2,FALSE,4.62349680646667,"Dom",47822.732105,47822.732105,1998
"83",472,"BrF",28,"1992-12-15","CN",1999,1992,1999,7,2476,1,0,"Dom",3,5745,1999,1999-07-02,1999-09-26,"main",86,3,FALSE,3.33536095095,"Dom",66557.805281,66557.805281,1999
"84",472,"BrF",30,"1992-12-15","CN",2003,1992,2003,11,3913,1,0,"Dom",3,5745,2003,2003-06-06,2003-09-02,"main",88,2,FALSE,3.65308711307692,"Sub",23915.34503,23915.34503,2003
"85",472,"BrF",34,"1992-12-15","CN",2004,1992,2004,12,4279,1,0,"Dom",3,5745,2004,2004-05-30,2004-09-02,"main",95,2,FALSE,3.1884100425,"Dom",9418.90645,9418.90645,2004
"86",472,"BrF",25,"1992-12-15","CN",1998,1992,1998,6,2112,1,0,"Dom",3,5745,1998,1998-06-20,1998-09-27,"main",99,2,FALSE,4.62349680646667,"Dom",39588.43543,39588.43543,1998
"87",472,"BrF",82,"1992-12-15","CN",2007,1992,2007,15,5388,1,0,"Dom",3,5745,2007,2007-06-14,2007-09-16,"main",94,2,FALSE,2.34702925817857,"Dom",5015.581011,5015.581011,2007
"88",472,"BrF",87,"1992-12-15","CN",2008,1992,2008,16,5745,1,0,"Dom",3,5745,2008,2008-07-10,2008-09-07,"main",59,2,FALSE,2.21180775553571,"Dom",6093.822529,6093.822529,2008
"89",472,"BrF",37,"1992-12-15","CN",2005,1992,2005,13,4653,1,0,"Dom",3,5745,2005,2005-05-26,2005-09-11,"main",108,3,FALSE,4.85163903403571,"Dom",NA,NA,NA
"90",476,"NSA",28,"1992-08-12","CN",1999,1992,1999,7,2601,1,0,"Sub",1,4869,1999,1999-07-02,1999-09-26,"main",86,3,FALSE,3.33536095095,"Sub",148672.17682,148672.17682,1999
"91",476,"ABX",25,"1992-08-12","CN",1998,1992,1998,6,2237,1,0,"Sub",1,4869,1998,1998-06-20,1998-09-27,"main",99,2,FALSE,4.62349680646667,"Sub",141764.65739,141764.65739,1998
"92",476,"ABX",30,"1992-08-12","CN",2003,1992,2003,11,4038,1,0,"Sub",1,4869,2003,2003-06-06,2003-09-02,"main",88,2,FALSE,3.65308711307692,"Sub",13759.1804,13759.1804,2003
"93",476,"ABX",34,"1992-08-12","CN",2004,1992,2004,12,4404,1,0,"Sub",1,4869,2004,2004-05-30,2004-09-02,"main",95,2,FALSE,3.1884100425,"Sub",4331.624882,4331.624882,2004
"94",476,"H",37,"1992-08-12","CN",2005,1992,2005,13,4778,1,0,"Sub",1,4869,2005,2005-05-26,2005-09-11,"main",108,3,FALSE,4.85163903403571,"Sub",NA,NA,NA
"95",494,"BrM",25,"1990-07-02","CN",1998,1990,1998,8,3009,1,1,"Dom",1,4475,1998,1998-06-20,1998-09-27,"main",99,2,FALSE,4.62349680646667,"Dom",74655.94707,74655.94707,1998
"96",494,"BrM",28,"1990-07-02","CN",1999,1990,1999,9,3373,1,1,"Dom",1,4475,1999,1999-07-02,1999-09-26,"main",86,3,FALSE,3.33536095095,"Dom",27293.47273,27293.47273,1999
"97",495,"BrM",25,"1993-07-08","CN",1998,1993,1998,5,1907,1,1,"Dom",2,2940,1998,1998-06-20,1998-09-27,"main",99,2,FALSE,4.62349680646667,"Dom",127221.226805,127221.226805,1998
"98",495,"BrM",28,"1993-07-08","CN",1999,1993,1999,6,2271,1,1,"Dom",2,2940,1999,1999-07-02,1999-09-26,"main",86,3,FALSE,3.33536095095,"Dom",82735.884985,82735.884985,1999
"99",497,"BrM",28,"1993-07-08","CN",1999,1993,1999,6,2271,1,1,"Dom",1,5183,1999,1999-07-02,1999-09-26,"main",86,3,FALSE,3.33536095095,"Dom",25798.72157,25798.72157,1999
"100",497,"BrM",30,"1993-07-08","CN",2003,1993,2003,10,3708,1,1,"Dom",1,5183,2003,2003-06-06,2003-09-02,"main",88,2,FALSE,3.65308711307692,"Dom",13092.49945,13092.49945,2003
"101",497,"BrM",34,"1993-07-08","CN",2004,1993,2004,11,4074,1,1,"Dom",1,5183,2004,2004-05-30,2004-09-02,"main",95,2,FALSE,3.1884100425,"Dom",8333.941562,8333.941562,2004
"102",497,"BrM",37,"1993-07-08","CN",2005,1993,2005,12,4448,1,1,"Dom",1,5183,2005,2005-05-26,2005-09-11,"main",108,3,FALSE,4.85163903403571,"Dom",NA,NA,NA
"103",497,"BrM",25,"1993-07-08","CN",1998,1993,1998,5,1907,1,1,"Dom",1,5183,1998,1998-06-20,1998-09-27,"main",99,2,FALSE,4.62349680646667,"Dom",79801.32668,79801.32668,1998
"104",497,"BrM",82,"1993-07-08","CN",2007,1993,2007,14,5183,1,1,"Dom",1,5183,2007,2007-06-14,2007-09-16,"main",94,2,FALSE,2.34702925817857,"Dom",6214.238272,6214.238272,2007
"105",499,"BrM",28,"1993-07-08","CN",1999,1993,1999,6,2271,1,1,"Dom",1,4804,1999,1999-07-02,1999-09-26,"main",86,3,FALSE,3.33536095095,"Dom",39358.70216,39358.70216,1999
"106",499,"BrM",30,"1993-07-08","CN",2003,1993,2003,10,3708,1,1,"Dom",1,4804,2003,2003-06-06,2003-09-02,"main",88,2,FALSE,3.65308711307692,"Dom",NA,NA,NA
"107",499,"BrM",34,"1993-07-08","CN",2004,1993,2004,11,4074,1,1,"Dom",1,4804,2004,2004-05-30,2004-09-02,"main",95,2,FALSE,3.1884100425,"Dom",7778.530546,7778.530546,2004
"108",499,"BrM",37,"1993-07-08","CN",2005,1993,2005,12,4448,1,1,"Dom",1,4804,2005,2005-05-26,2005-09-11,"main",108,3,FALSE,4.85163903403571,"Dom",NA,NA,NA
"109",499,"BrM",25,"1993-07-08","CN",1998,1993,1998,5,1907,1,1,"Dom",1,4804,1998,1998-06-20,1998-09-27,"main",99,2,FALSE,4.62349680646667,"Dom",112119.81125,112119.81125,1998
"110",500,"SEEN1",25,"1991-05-03","CN",1998,1991,1998,7,2704,1,0,"Sub",2,2704,1998,1998-06-20,1998-09-27,"main",99,2,FALSE,4.62349680646667,"Dom",79207.502775,79207.502775,1998
"111",501,"BrM",28,"1994-04-09","CN",1999,1994,1999,5,1996,1,1,"Dom",1,3931,1999,1999-07-02,1999-09-26,"main",86,3,FALSE,3.33536095095,"Dom",28460.20669,28460.20669,1999
"112",501,"BrM",30,"1994-04-09","CN",2003,1994,2003,9,3433,1,1,"Dom",1,3931,2003,2003-06-06,2003-09-02,"main",88,2,FALSE,3.65308711307692,"Dom",15132.78391,15132.78391,2003
"113",501,"BrM",34,"1994-04-09","CN",2004,1994,2004,10,3799,1,1,"Dom",1,3931,2004,2004-05-30,2004-09-02,"main",95,2,FALSE,3.1884100425,"Dom",10947.55318,10947.55318,2004
"114",501,"BrM",25,"1994-04-09","CN",1998,1994,1998,4,1632,1,1,"Dom",1,3931,1998,1998-06-20,1998-09-27,"main",99,2,FALSE,4.62349680646667,"Dom",42636.839135,42636.839135,1998
"115",502,"BrF",28,"1993-07-08","CN",1999,1993,1999,6,2271,1,0,"Dom",1,2593,1999,1999-07-02,1999-09-26,"main",86,3,FALSE,3.33536095095,"Dom",36412.900615,36412.900615,1999
"116",502,"BrF",25,"1993-07-08","CN",1998,1993,1998,5,1907,1,0,"Dom",1,2593,1998,1998-06-20,1998-09-27,"main",99,2,FALSE,4.62349680646667,"Dom",100477.19325,100477.19325,1998
"117",503,"BrF",34,"1993-07-08","CN",2004,1993,2004,11,4074,1,0,"Dom",1,5341,2004,2004-05-30,2004-09-02,"main",95,2,FALSE,3.1884100425,"Dom",14593.76505,14593.76505,2004
"118",503,"BrF",25,"1993-07-08","CN",1998,1993,1998,5,1907,1,0,"Dom",1,5341,1998,1998-06-20,1998-09-27,"main",99,2,FALSE,4.62349680646667,"Dom",47822.732105,47822.732105,1998
"119",503,"BrF",28,"1993-07-08","CN",1999,1993,1999,6,2271,1,0,"Dom",1,5341,1999,1999-07-02,1999-09-26,"main",86,3,FALSE,3.33536095095,"Dom",27476.08028,27476.08028,1999
"120",503,"BrF",30,"1993-07-08","CN",2003,1993,2003,10,3708,1,0,"Dom",1,5341,2003,2003-06-06,2003-09-02,"main",88,2,FALSE,3.65308711307692,"Dom",10141.82176,10141.82176,2003
"121",503,"BrF",37,"1993-07-08","CN",2005,1993,2005,12,4448,1,0,"Dom",1,5341,2005,2005-05-26,2005-09-11,"main",108,3,FALSE,4.85163903403571,"Dom",NA,NA,NA
"122",503,"BrF",82,"1993-07-08","CN",2007,1993,2007,14,5183,1,0,"Dom",1,5341,2007,2007-06-14,2007-09-16,"main",94,2,FALSE,2.34702925817857,"Dom",11394.82634,11394.82634,2007
"123",504,"BrF",25,"1993-07-08","CN",1998,1993,1998,5,1907,1,0,"Dom",2,2593,1998,1998-06-20,1998-09-27,"main",99,2,FALSE,4.62349680646667,"Dom",78438.593705,78438.593705,1998
"124",504,"BrF",28,"1993-07-08","CN",1999,1993,1999,6,2271,1,0,"Dom",2,2593,1999,1999-07-02,1999-09-26,"main",86,3,FALSE,3.33536095095,"Dom",37033.69452,37033.69452,1999
"125",507,"BrM",37,"1993-07-08","CN",2005,1993,2005,12,4448,1,1,"Dom",1,5540,2005,2005-05-26,2005-09-11,"main",108,3,FALSE,4.85163903403571,"Dom",NA,NA,NA
"126",507,"BrM",25,"1993-07-08","CN",1998,1993,1998,5,1907,1,1,"Dom",1,5540,1998,1998-06-20,1998-09-27,"main",99,2,FALSE,4.62349680646667,"Dom",61959.98617,61959.98617,1998
"127",507,"BrM",28,"1993-07-08","CN",1999,1993,1999,6,2271,1,1,"Dom",1,5540,1999,1999-07-02,1999-09-26,"main",86,3,FALSE,3.33536095095,"Dom",27441.244675,27441.244675,1999
"128",507,"BrM",30,"1993-07-08","CN",2003,1993,2003,10,3708,1,1,"Dom",1,5540,2003,2003-06-06,2003-09-02,"main",88,2,FALSE,3.65308711307692,"Dom",NA,NA,NA
